words,frequency
this,32910
food,20222
NOT_the,19628
NOT_to,19231
us,18138
place,17273
order,17147
no,16974
servic,15786
get,15569
would,15178
time,14364
one,13715
drink,12862
like,12854
ask,12652
go,12269
NOT_a,11824
wait,10527
tabl,10166
NOT_,10160
said,9653
could,9622
minut,9535
came,9504
got,9394
bar,9275
manag,9263
back,8688
good,8349
NOT_and,8312
told,8260
restaur,7595
peopl,7441
NOT_it,7400
even,7249
friend,7218
want,7201
come,7178
went,7153
tri,6915
look,6682
server,6659
room,6433
night,6384
vega,6265
say,6231
NOT_be,6166
NOT_in,5922
took,5887
NOT_for,5822
realli,5806
walk,5724
experi,5691
check,5684
NOT_i,5669
NOT_of,5632
first,5597
NOT_this,5463
NOT_even,5448
hour,5404
bartend,5389
take,5384
NOT_that,5380
bad,5368
NOT_back,5309
way,5146
waitress,5131
anoth,5047
custom,5044
call,5011
NOT_go,4945
make,4941
club,4744
better,4729
ever,4726
worst,4649
well,4643
give,4635
two,4621
NOT_have,4511
NOT_on,4485
also,4467
still,4426
NOT_was,4413
left,4361
hotel,4341
has,4332
horribl,4324
NOT_at,4319
seat,4305
great,4253
his,4247
eat,4198
guy,4170
disappoint,4161
rude,4149
know,4064
around,4009
staff,4008
thing,4007
made,3939
star,3929
tast,3893
price,3877
stay,3846
charg,3830
NOT_here,3825
waiter,3804
day,3752
pay,3706
final,3692
need,3689
money,3681
NOT_mi,3680
NOT_we,3662
NOT_get,3553
review,3543
last,3501
parti,3500
nice,3421
water,3417
noth,3389
burger,3368
away,3355
terribl,3350
right,3348
menu,3337
tell,3289
NOT_or,3289
NOT_you,3279
girl,3277
leav,3274
see,3272
much,3260
NOT_again,3231
busi,3214
meal,3206
next,3194
let,3174
NOT_come,3123
chicken,3118
sit,3104
think,3096
beer,3072
serv,3062
decid,3040
NOT_with,3039
dinner,3005
start,2996
NOT_us,2986
steak,2982
arriv,2979
sinc,2978
end,2970
sat,2931
work,2917
NOT_our,2916
min,2907
line,2903
bill,2879
long,2850
use,2839
show,2827
NOT_place,2813
front,2775
reserv,2764
fri,2760
seem,2711
someth,2692
NOT_all,2648
later,2628
NOT_there,2628
ca,2618
ok,2606
group,2598
els,2589
year,2562
put,2544
pm,2531
NOT_me,2521
NOT_they,2501
mani,2499
new,2499
someon,2494
pretti,2447
open,2440
point,2437
cold,2429
person,2401
NOT_ani,2397
NOT_want,2372
secur,2352
gave,2348
free,2340
NOT_food,2326
NOT_like,2290
NOT_so,2278
strip,2272
hostess,2265
tip,2265
half,2250
small,2237
NOT_know,2231
actual,2225
littl,2221
NOT_good,2219
side,2217
talk,2211
NOT_your,2206
salad,2192
wo,2192
NOT_time,2185
NOT_but,2181
note,2172
brought,2162
close,2142
card,2140
complet,2138
sure,2123
husband,2103
mayb,2091
top,2080
least,2073
offer,2072
thought,2063
chees,2060
expect,2041
everi,2038
hard,2029
plate,2018
differ,2012
paid,2011
cook,1999
best,1998
locat,1997
door,1994
find,1981
NOT_had,1963
NOT_what,1957
love,1949
empti,1942
lot,1920
everyth,1913
NOT_order,1906
wrong,1893
NOT_if,1892
play,1889
NOT_drink,1880
guest,1876
NOT_as,1871
NOT_is,1864
danc,1858
bottl,1854
music,1854
name,1853
sauc,1851
howev,1846
area,1840
feel,1830
though,1823
poor,1823
total,1817
visit,1816
instead,1813
without,1807
dish,1791
NOT_one,1783
chang,1777
las,1776
NOT_out,1772
NOT_about,1772
everyon,1765
second,1758
reason,1753
watch,1750
NOT_do,1731
NOT_recommend,1724
NOT_eat,1714
insid,1707
happen,1702
absolut,1698
appet,1694
suck,1693
NOT_servic,1690
big,1667
wife,1665
coupl,1663
turn,1657
outsid,1656
high,1653
floor,1647
almost,1646
definit,1643
taco,1643
guess,1642
NOT_were,1638
receiv,1627
old,1627
bring,1626
extrem,1621
help,1616
NOT_becaus,1611
probabl,1577
happi,1570
phone,1570
stop,1566
alreadi,1563
hope,1562
aw,1560
alway,1556
glass,1552
whole,1551
found,1546
NOT_anyth,1538
pool,1536
NOT_ask,1535
NOT_up,1531
NOT_return,1517
NOT_worth,1516
stand,1514
three,1514
oh,1507
attitud,1506
saw,1505
NOT_their,1495
flavor,1494
hand,1493
special,1489
move,1487
clear,1486
liter,1482
thank,1476
enjoy,1471
dine,1467
dri,1465
care,1464
felt,1451
full,1448
slow,1446
casino,1438
employe,1437
sever,1435
game,1429
qualiti,1427
treat,1426
NOT_how,1404
sorri,1401
anyth,1400
birthday,1395
NOT_busi,1394
NOT_them,1393
bouncer,1363
ladi,1357
chip,1349
meat,1343
overpr,1337
apolog,1333
serious,1332
part,1324
problem,1312
yes,1305
wine,1304
NOT_make,1303
far,1299
bread,1297
kind,1294
NOT_money,1288
fine,1286
lunch,1285
desk,1285
famili,1283
NOT_been,1281
NOT_when,1280
pleas,1278
NOT_care,1274
super,1272
week,1258
explain,1257
NOT_just,1251
local,1246
wast,1245
kid,1245
run,1244
ignor,1242
dollar,1242
less,1241
short,1240
wing,1237
spend,1224
NOT_tabl,1216
owner,1211
kitchen,1211
keep,1205
entir,1202
okay,1200
disgust,1198
NOT_from,1187
NOT_an,1183
pizza,1176
cover,1174
sad,1165
NOT_ever,1163
quick,1162
crowd,1159
return,1156
mean,1151
notic,1142
hot,1142
understand,1142
cours,1141
piec,1138
lack,1137
expens,1136
NOT_wait,1134
NOT_give,1133
home,1131
enough,1131
recommend,1125
issu,1117
kept,1116
never,1113
attent,1112
NOT_her,1112
ice,1111
suppos,1110
NOT_restaur,1107
pass,1099
book,1099
NOT_take,1093
unfortun,1084
pick,1079
wors,1068
extra,1066
basic,1064
ticket,1064
dirti,1064
NOT_would,1059
bit,1059
ate,1058
clean,1054
head,1051
item,1051
avoid,1049
state,1047
NOT_stay,1047
ridicul,1047
NOT_much,1045
inform,1040
list,1039
save,1038
fact,1037
loud,1036
NOT_he,1034
boyfriend,1033
given,1032
deal,1030
NOT_custom,1026
host,1025
NOT_wast,1023
decent,1019
finish,1013
past,1010
town,1009
rock,1007
NOT_she,1004
fun,1001
shrimp,999
dessert,996
readi,996
late,993
NOT_bad,991
mediocr,989
NOT_anyon,986
obvious,983
hous,980
spent,978
establish,978
NOT_sure,978
nacho,977
NOT_pay,977
cost,975
amaz,974
joke,967
bland,961
sign,961
smoke,958
ago,957
cool,956
NOT_bi,953
live,949
cocktail,945
medium,944
NOT_check,944
today,942
speak,941
rate,941
credit,938
overal,936
immedi,936
dress,935
man,933
yelp,932
bathroom,931
complain,930
fee,928
sandwich,925
NOT_came,925
wish,921
NOT_are,919
NOT_see,918
sent,918
twice,915
NOT_peopl,915
honest,915
view,914
NOT_bar,911
huge,910
month,910
read,907
NOT_until,905
soup,903
weekend,901
especi,900
fish,900
bite,900
trip,897
anyon,896
NOT_veri,895
appar,895
somewher,888
NOT_after,886
saturday,881
gone,881
excit,880
zero,880
rather,871
NOT_will,870
must,869
includ,866
situat,865
bed,864
may,863
behind,863
yet,859
near,858
NOT_got,858
smell,858
NOT_let,853
rest,853
potato,852
larg,851
request,849
id,848
friday,844
rice,841
might,840
margarita,838
chef,836
NOT_tri,835
salsa,835
light,833
greet,832
usual,832
entre,830
cut,827
taken,826
mistak,826
set,825
red,824
drop,823
shot,823
buy,822
option,820
ruin,818
