words,frequency
mexican,818
anyway,816
heard,811
spot,811
main,809
lost,809
park,808
regular,804
job,803
eye,800
NOT_work,800
NOT_other,799
knew,793
refus,792
miss,789
rare,788
quit,787
NOT_say,787
wonder,786
machin,786
due,785
forev,783
patron,782
NOT_look,777
grab,777
mind,774
refil,773
bare,772
life,771
black,771
rib,769
cup,768
atmospher,767
write,767
NOT_enough,766
real,765
respons,763
plus,754
NOT_more,752
either,752
breakfast,752
th,750
egg,750
gross,749
face,749
forgot,748
mention,747
tonight,746
cheap,745
comp,744
NOT_think,740
NOT_room,737
NOT_realli,735
four,731
hate,728
word,726
size,725
portion,722
NOT_friend,720
averag,720
white,719
NOT_over,719
figur,719
roll,719
abl,718
sunday,715
amount,715
sweet,711
upon,706
NOT_great,705
question,703
NOT_experi,698
cash,697
mess,695
per,694
NOT_befor,693
continu,690
realiz,690
dj,690
earli,689
NOT_either,688
NOT_serv,688
except,686
lobster,685
wow,684
NOT_his,684
NOT_way,683
act,682
soon,676
NOT_did,676
loung,674
upset,673
NOT_no,673
beef,672
pictur,670
contact,669
surpris,669
NOT_club,667
elsewher,666
proceed,665
across,664
booth,663
NOT_bother,662
pack,661
street,658
NOT_review,657
longer,656
NOT_expect,654
morn,650
alcohol,650
pull,650
pasta,650
compani,647
choic,645
hungri,645
annoy,644
avail,642
unprofession,641
idea,640
NOT_minut,640
celebr,638
hair,636
excus,635
NOT_offer,634
NOT_need,633
hear,633
consid,632
kick,631
hell,630
onion,630
send,629
decor,629
NOT_hotel,629
girlfriend,628
warm,628
drunk,627
spoke,626
NOT_manag,626
believ,626
unless,625
NOT_too,622
guard,622
bean,622
coffe,621
number,618
suggest,618
tini,618
possibl,617
hold,615
NOT_vega,611
plan,610
crab,609
mix,608
NOT_tast,605
acknowledg,605
bacon,605
worth,605
NOT_tell,604
sound,602
hookah,602
vip,601
bag,600
caus,598
seen,598
fix,598
women,597
whatev,595
togeth,594
awesom,594
NOT_price,593
grill,593
addit,584
type,584
answer,584
yell,581
allow,580
sick,580
normal,579
add,579
NOT_anoth,576
promot,575
shit,574
ass,574
attempt,569
crap,568
stori,565
suit,564
salti,563
fill,562
simpli,561
femal,561
resort,561
ad,560
NOT_charg,560
bowl,559
multipl,559
hit,558
follow,558
enter,558
NOT_night,558
NOT_help,558
buck,558
share,557
goe,556
etc,556
non,556
NOT_believ,555
wtf,555
NOT_happen,555
although,553
shame,551
negat,550
lie,550
event,549
NOT_call,549
none,549
NOT_right,549
wall,548
favorit,546
push,546
NOT_menu,546
woman,545
box,545
frozen,542
NOT_him,541
NOT_leav,540
NOT_seem,540
email,539
needless,539
NOT_use,539
plenti,539
base,538
chanc,538
NOT_server,537
bought,537
NOT_receiv,535
five,534
salt,533
NOT_sit,532
tv,529
round,529
fail,527
nobodi,527
repli,526
patio,525
NOT_down,522
fuck,522
cream,520
approach,519
rip,519
NOT_said,516
pork,516
post,515
middl,512
pour,512
car,510
NOT_whi,509
NOT_off,509
shock,509
low,509
dog,507
buffet,506
menus,505
fast,505
tao,505
NOT_water,503
nasti,501
NOT_who,501
weird,500
throw,498
stick,497
stuff,496
certain,495
yeah,495
NOT_e,495
NOT_long,494
select,494
flag,493
industri,493
doubl,492
NOT_hour,491
NOT_seat,491
men,489
eaten,489
gambl,489
fresh,488
provid,488
entranc,488
advertis,487
stood,486
refund,486
member,485
within,485
chair,484
NOT_allow,483
step,482
tender,481
NOT_bring,480
correct,479
NOT_walk,478
NOT_els,478
forward,478
NOT_cook,477
beauti,477
purchas,475
along,475
wear,473
st,473
season,472
begin,472
NOT_meal,472
delici,471
burnt,471
NOT_anymor,471
boy,471
fair,470
