words,frequency
good,54461
great,41297
food,39615
place,36140
like,26574
service,26103
one,23710
really,23499
get,23407
time,22793
would,22655
vegas,22581
bar,21124
nice,19925
back,18416
also,18143
go,17820
us,16060
got,16050
ordered,15723
notaddthe,15699
drinks,15240
night,14865
well,14770
pretty,14569
little,14348
definitely,13698
restaurant,13638
came,13526
menu,12976
delicious,12897
burger,12851
no,11841
try,11494
people,11292
could,11169
even,11121
chicken,10694
come,10694
strip,10526
best,10439
love,10345
drink,10096
went,9789
first,9708
notaddto,9677
table,9518
friendly,9403
bit,9343
order,9337
much,9330
made,9296
fries,9086
dinner,9042
always,9016
cheese,8954
room,8871
amazing,8870
right,8721
beer,8109
fun,8043
sauce,8036
two,8005
around,7980
experience,7949
notadda,7892
happy,7850
steak,7760
next,7746
staff,7737
still,7718
side,7675
wait,7649
think,7641
make,7579
music,7511
though,7497
meal,7486
sure,7348
better,7303
awesome,7170
way,7056
area,7006
hour,6958
salad,6936
want,6851
overall,6785
hotel,6768
atmosphere,6760
server,6758
excellent,6656
everything,6655
since,6620
small,6571
know,6491
eat,6459
see,6357
day,6308
say,6262
going,6256
tasty,6252
stars,6228
friends,6202
recommend,6196
notaddof,6192
notaddit,6124
club,6111
worth,6057
free,6037
cool,5989
enjoyed,5884
lot,5881
super,5853
big,5842
notadd,5683
check,5622
price,5596
fresh,5509
take,5490
top,5481
sweet,5458
thing,5441
perfect,5424
loved,5415
times,5402
give,5393
inside,5391
new,5386
wine,5365
ca,5323
dish,5303
lunch,5268
spot,5265
friend,5250
something,5217
notaddand,5197
different,5181
favorite,5166
flavor,5073
fried,5060
every,5027
prices,4964
tried,4960
outside,4956
took,4954
looking,4953
casino,4948
ever,4938
long,4918
view,4913
huge,4887
bread,4851
said,4820
large,4789
last,4772
many,4768
pool,4755
enough,4733
las,4729
cooked,4717
location,4687
notaddi,4686
dessert,4680
taste,4615
hot,4574
party,4510
shrimp,4493
served,4484
full,4469
beef,4456
however,4451
feel,4442
another,4428
away,4423
quite,4420
probably,4416
find,4394
visit,4376
wanted,4307
floor,4283
notaddfor,4199
actually,4166
special,4164
lobster,4159
group,4158
dishes,4156
selection,4135
burgers,4057
enjoy,4010
