words,frequency
notaddin,3982
dining,3979
tables,3969
chocolate,3962
bad,3958
pm,3946
attentive,3918
meat,3911
spicy,3904
thought,3888
everyone,3887
star,3838
waiter,3836
decided,3832
things,3781
must,3773
pork,3753
seated,3738
minutes,3705
line,3694
open,3649
chips,3630
decor,3621
house,3613
decent,3596
show,3589
crab,3570
kind,3556
couple,3548
pizza,3539
notaddbut,3518
rice,3515
course,3506
dance,3504
waitress,3487
liked,3469
half,3468
hard,3448
maybe,3438
busy,3436
stay,3432
bacon,3429
high,3426
nothing,3417
bartender,3401
especially,3375
tacos,3361
need,3355
asked,3351
notaddthat,3346
getting,3341
note,3316
without,3303
ok,3285
restaurants,3283
soup,3273
end,3265
places,3261
husband,3246
perfectly,3242
clean,3192
beautiful,3189
sit,3184
crispy,3184
notaddwas,3176
quality,3168
coming,3168
old,3165
fish,3160
breakfast,3149
lounge,3128
although,3101
cream,3070
town,3045
let,3037
water,3006
red,2996
seating,2991
sat,2983
tasted,2982
usually,2982
found,2973
wings,2956
fantastic,2915
girls,2911
look,2911
located,2895
garlic,2889
gave,2886
part,2882
late,2844
beers,2841
lots,2825
appetizer,2814
notaddon,2810
started,2797
ask,2792
almost,2792
crowd,2786
review,2780
walk,2778
pricey,2767
quick,2752
front,2740
looked,2736
ambiance,2734
expensive,2730
stop,2721
three,2716
yummy,2714
patio,2713
cocktails,2711
trip,2699
notaddyou,2693
else,2691
ice,2684
least,2674
items,2669
watch,2658
main,2653
far,2652
home,2651
told,2645
able,2642
seemed,2638
yes,2627
list,2597
bartenders,2593
point,2586
notaddat,2584
left,2581
thai,2575
comes,2555
portion,2552
potato,2539
sandwich,2531
reason,2527
options,2521
plate,2512
portions,2511
notaddwith,2502
packed,2481
light,2477
wife,2463
rooms,2460
potatoes,2457
cocktail,2456
second,2456
plus,2454
plenty,2454
style,2429
french,2427
tender,2425
pay,2414
whole,2411
expect,2402
appetizers,2394
wonderful,2384
mac,2384
glass,2384
oh,2384
eating,2368
put,2367
wish,2367
felt,2366
size,2351
extra,2342
bottle,2339
yelp,2336
start,2330
notaddas,2315
makes,2306
brought,2297
guy,2283
instead,2280
live,2280
notaddthis,2279
ended,2277
may,2275
anything,2255
trying,2253
bring,2251
ate,2249
butter,2245
work,2245
vibe,2235
weekend,2233
medium,2224
slow,2218
early,2210
less,2209
cheap,2206
highly,2205
game,2187
rock,2185
flavors,2175
parking,2175
several,2174
deal,2173
guys,2173
truffle,2168
remember,2161
white,2158
flavorful,2157
used,2156
onion,2152
egg,2152
name,2151
birthday,2147
choice,2137
absolutely,2127
brunch,2123
loud,2116
reservation,2111
hours,2110
close,2108
crowded,2092
seafood,2090
hit,2088
evening,2081
saturday,2077
rib,2068
grilled,2066
easy,2063
waiting,2062
four,2060
street,2057
family,2049
fine,2047
keep,2045
short,2043
dj,2042
salsa,2039
pasta,2037
arrived,2035
stayed,2031
might,2030
use,2017
years,2007
saw,1996
okay,1991
amount,1990
bite,1988
notaddis,1981
reviews,1980
fast,1971
return,1971
tip,1966
local,1954
quickly,1954
priced,1944
care,1944
play,1937
cake,1934
door,1928
cold,1927
notaddor,1926
servers,1924
dark,1917
games,1916
comfortable,1904
reasonable,1896
nachos,1888
eggs,1881
share,1873
fan,1868
coffee,1861
surprised,1857
person,1851
finally,1849
sunday,1843
friday,1842
mexican,1837
shared,1835
walked,1827
expected,1822
yet,1815
real,1812
notaddmy,1808
unique,1799
notaddall,1797
playing,1794
space,1789
either,1786
lol,1780
mind,1776
money,1776
warm,1775
along,1771
later,1768
mix,1761
filet,1757
chef,1755
helpful,1753
guess,1751
offer,1750
interesting,1747
needed,1746
black,1745
week,1744
downtown,1742
staying,1741
someone,1733
variety,1730
bbq,1729
rare,1729
gets,1723
salmon,1712
tell,1709
solid,1709
reservations,1703
cut,1702
strong,1702
italian,1698
boyfriend,1685
sides,1677
regular,1677
watching,1674
venetian,1673
green,1664
seems,1663
duck,1660
near,1656
fact,1655
average,1650
walking,1647
notaddplace,1640
glad,1638
tv,1635
prepared,1627
juicy,1627
stopped,1625
chili,1622
bathroom,1620
corn,1612
extremely,1605
level,1598
bars,1598
year,1596
etc,1595
oysters,1588
sports,1582
specials,1579
stuff,1575
notaddhere,1574
across,1572
entree,1563
notaddgood,1558
recommended,1553
sitting,1544
already,1544
kept,1537
disappointed,1534
blue,1531
set,1529
making,1526
heard,1525
totally,1523
outdoor,1522
type,1520
dry,1518
mixed,1506
clubs,1500
chill,1496
called,1494
crazy,1493
serve,1491
tea,1489
notaddso,1488
add,1481
kitchen,1481
notaddfood,1478
beans,1478
impressed,1472
girl,1471
bill,1470
given,1469
nights,1458
past,1458
notaddif,1457
tomato,1457
hostess,1454
notaddwe,1451
margarita,1445
added,1442
days,1441
soft,1437
tuna,1433
looks,1433
tao,1431
choose,1426
rest,1425
pie,1419
entrees,1418
hang,1417
cover,1415
rather,1415
yum,1406
dip,1399
soon,1399
alcohol,1397
casual,1394
sliders,1390
twice,1385
dancing,1383
roll,1382
kids,1377
cute,1375
hip,1375
lamb,1375
belly,1371
prime,1370
date,1368
available,1368
middle,1360
seem,1357
believe,1355
waited,1353
man,1353
notaddthey,1353
kinda,1352
others,1349
creamy,1348
desserts,1348
manager,1345
palazzo,1344
ordering,1335
pub,1335
leave,1330
asian,1324
offered,1320
bowl,1314
notaddlike,1310
entire,1309
seat,1308
job,1306
rich,1305
noodles,1303
often,1302
filled,1301
ribs,1299
including,1298
five,1298
mushrooms,1297
knew,1294
standard,1293
split,1293
tasting,1292
roasted,1291
per,1285
bun,1284
charge,1282
curry,1278
customer,1271
mouth,1269
sometimes,1269
plates,1266
modern,1261
seen,1261
seats,1258
buffet,1257
simple,1256
onions,1254
seasoned,1251
immediately,1246
drinking,1244
grab,1240
margaritas,1238
notaddhave,1236
world,1235
ladies,1229
bed,1228
mean,1225
wow,1225
ready,1223
slightly,1220
salty,1218
choices,1218
bellagio,1218
oz,1217
sea,1215
la,1214
taking,1209
toast,1208
shot,1206
together,1199
due,1199
typical,1199
calamari,1197
pleasant,1197
bone,1191
topped,1190
steaks,1189
notaddmuch,1188
wall,1187
option,1184
empty,1180
call,1178
business,1174
notaddbe,1174
notaddback,1169
giving,1165
notaddthere,1165
locals,1162
ago,1160
eye,1157
checked,1157
hand,1156
anyway,1155
finish,1153
change,1148
ones,1146
city,1142
pho,1142
rolls,1141
notaddout,1140
head,1138
unfortunately,1137
hungry,1136
fancy,1135
wrong,1135
taco,1132
sausage,1130
complaint,1127
gras,1126
spinach,1126
th,1122
based,1119
outstanding,1116
pan,1114
smoke,1109
problem,1109
foie,1108
center,1107
mall,1107
eaten,1105
shake,1095
fat,1092
non,1088
pieces,1087
notaddfan,1086
thank,1079
morning,1079
orders,1077
easily,1076
tap,1075
notaddabout,1071
anyone,1068
mashed,1064
cost,1059
notaddbecause,1054
chose,1053
lovely,1052
touch,1049
nicely,1049
thanks,1048
vodka,1048
fairly,1047
classic,1047
honestly,1044
feeling,1044
low,1038
shots,1037
smaller,1034
upon,1034
complimentary,1032
cup,1031
spend,1030
notaddme,1030
hear,1029
meals,1028
filling,1027
checking,1023
island,1022
joint,1020
considering,1016
literally,1015
rings,1015
stuffed,1012
help,1010
notaddany,1009
oxtail,1008
sushi,1007
except,1007
notaddbad,1003
working,1003
seriously,1003
pepper,1001
martini,1001
opened,1000
baked,999
mostly,995
generous,994
salt,992
fremont,991
greeted,990
roast,990
notaddgo,989
included,989
entrance,988
dressing,985
booth,985
vip,985
quiet,984
xs,984
paid,983
life,983
notaddwhat,981
crust,980
card,980
views,977
american,976
drunk,975
read,974
ambience,972
buy,969
talk,965
bouchon,965
presentation,964
band,963
pick,960
kobe,960
basically,959
minute,958
played,954
surprisingly,954
ingredients,953
perfection,953
thick,951
tuesday,951
miss,949
kick,949
mini,948
paying,947
hop,947
please,946
tower,946
afternoon,944
tvs,944
refreshing,943
serving,943
otherwise,942
lemon,941
exactly,938
chairs,937
notaddnot,936
notaddvegas,934
notaddwere,931
guest,930
guacamole,923
caesar,922
notaddhad,921
notaddfrom,920
buns,918
sauces,917
bunch,915
goes,914
weird,912
visited,910
idea,910
notaddget,910
bass,903
school,901
grand,901
taken,900
value,900
spice,899
spacious,898
prefer,897
damn,896
behind,895
notaddtime,894
notaddone,893
sort,891
ramen,891
york,888
resort,888
recently,887
lettuce,885
forget,884
stand,883
texture,883
book,881
throughout,881
expecting,878
forward,877
finished,877
whatever,876
within,876
noticed,874
mgm,874
alone,873
