words,frequency
food,20929
no,17211
service,15964
would,15557
get,14431
one,13774
like,13267
NOT_the,13037
NOT_to,12671
time,12140
said,9792
could,9770
came,9621
got,9591
go,9088
bar,9069
back,9041
minutes,9028
even,8964
good,8805
asked,8553
told,8389
ordered,8376
NOT_a,8106
table,7993
order,7764
people,7727
drinks,7262
went,7226
manager,6838
restaurant,6613
NOT_,6554
vegas,6415
night,6174
really,6131
took,5989
drink,5869
first,5735
server,5651
room,5617
bad,5597
NOT_and,5570
experience,5453
know,5239
another,5234
way,5193
come,4959
ever,4927
better,4882
NOT_back,4818
well,4786
waitress,4730
two,4719
worst,4693
NOT_be,4510
still,4506
left,4495
also,4484
NOT_it,4473
great,4415
going,4333
take,4261
horrible,4256
money,4239
NOT_this,4230
check,4222
want,4170
wait,4158
around,4156
club,4118
give,4107
hotel,4106
bartender,4098
NOT_in,4076
staff,4069
made,4051
wanted,4008
make,3960
say,3953
NOT_of,3917
rude,3898
hour,3819
NOT_i,3760
much,3697
NOT_for,3622
waited,3615
menu,3552
finally,3552
right,3502
away,3476
waiter,3470
NOT_that,3438
nothing,3437
last,3404
ask,3389
customer,3364
friends,3348
nice,3338
terrible,3280
next,3261
party,3228
see,3219
chicken,3177
friend,3152
eat,3152
waiting,3131
since,3125
times,3112
walked,3089
let,3066
NOT_again,3064
long,3057
NOT_at,3042
dinner,2996
day,2993
NOT_was,2983
sat,2976
think,2963
water,2958
NOT_even,2950
pay,2864
front,2851
something,2797
NOT_here,2788
bill,2782
meal,2780
else,2764
try,2762
called,2723
burger,2697
later,2686
line,2676
decided,2665
thing,2651
NOT_my,2638
ok,2629
steak,2628
ca,2618
guy,2601
many,2601
tables,2586
new,2580
someone,2567
pm,2547
seated,2543
NOT_go,2540
cold,2476
pretty,2473
free,2460
disappointed,2447
group,2447
stay,2425
put,2413
leave,2409
gave,2409
beer,2403
star,2388
tried,2381
NOT_we,2379
tell,2350
looked,2345
security,2336
half,2321
NOT_on,2291
little,2273
small,2270
strip,2262
brought,2208
NOT_or,2171
note,2137
least,2135
arrived,2131
sure,2124
maybe,2116
NOT_have,2103
every,2090
cheese,2090
review,2086
paid,2086
hostess,2083
thought,2078
anything,2076
getting,2057
NOT_place,2050
point,2041
best,2032
salad,2013
NOT_with,2010
husband,2002
wrong,2002
actually,1999
tasted,1992
trying,1983
customers,1982
business,1969
everything,1964
looking,1959
fries,1959
need,1953
NOT_our,1947
NOT_us,1947
empty,1946
call,1945
NOT_you,1942
girls,1930
charge,1929
music,1907
card,1891
though,1889
care,1881
find,1876
side,1872
management,1869
instead,1859
top,1857
without,1856
however,1855
person,1852
look,1849
different,1838
price,1828
everyone,1824
door,1817
hard,1808
NOT_there,1805
tip,1802
las,1797
NOT_all,1770
big,1768
area,1767
inside,1758
hours,1756
busy,1753
NOT_get,1746
sauce,1741
work,1733
open,1703
outside,1698
stars,1682
show,1680
almost,1680
happy,1676
NOT_they,1676
served,1675
guys,1672
wife,1657
NOT_good,1649
sit,1640
already,1636
lot,1617
old,1613
seemed,1612
whole,1610
definitely,1605
name,1595
reservation,1594
probably,1594
poor,1593
sitting,1592
completely,1592
always,1590
taste,1586
location,1582
found,1570
awful,1567
years,1566
floor,1564
extremely,1558
walk,1550
full,1546
min,1546
guess,1544
three,1544
couple,1543
second,1542
NOT_me,1536
reviews,1532
waste,1528
NOT_so,1528
saw,1522
things,1520
oh,1517
comes,1508
eating,1506
NOT_any,1493
quality,1490
attitude,1488
NOT_food,1487
used,1486
literally,1484
charged,1484
end,1482
started,1482
coming,1479
felt,1473
feel,1472
NOT_come,1461
NOT_but,1460
pool,1460
slow,1453
mins,1437
reason,1434
phone,1434
bottle,1432
girl,1429
