words,frequency
love,1426
plate,1425
sorry,1425
ended,1409
enough,1404
birthday,1377
NOT_recommend,1376
bring,1374
NOT_had,1366
says,1362
overpriced,1355
meat,1344
absolutely,1340
casino,1328
far,1327
bartenders,1325
chips,1325
dance,1325
places,1322
NOT_worth,1321
yes,1316
NOT_as,1309
desk,1309
lunch,1303
dry,1303
high,1301
NOT_is,1300
super,1294
fine,1291
wine,1285
NOT_if,1280
flavor,1276
start,1276
several,1268
less,1268
part,1258
cooked,1256
NOT_going,1255
NOT_one,1250
special,1249
kitchen,1246
family,1242
saying,1241
received,1237
restaurants,1233
okay,1220
please,1218
kind,1216
bread,1207
NOT_because,1187
servers,1185
hot,1183
home,1179
entire,1176
wings,1169
dining,1169
NOT_service,1158
paying,1158
NOT_what,1155
pizza,1152
understand,1151
needed,1150
use,1149
problem,1144
prices,1144
kept,1144
NOT_do,1142
help,1132
NOT_like,1123
NOT_out,1120
expensive,1118
visit,1116
dish,1111
tacos,1102
NOT_were,1102
extra,1099
worse,1095
ready,1094
given,1094
rooms,1091
ate,1089
dirty,1089
either,1084
course,1081
keep,1072
change,1070
anyone,1066
year,1064
seriously,1063
happened,1061
checked,1059
NOT_time,1056
glass,1052
yet,1044
bit,1043
offered,1042
fact,1041
NOT_your,1041
fun,1033
close,1031
orders,1031
decent,1030
guest,1016
town,1013
total,1010
spent,1008
NOT_not,1003
boyfriend,1003
NOT_up,998
asking,996
loud,996
appetizer,995
expect,995
walking,993
late,984
past,984
NOT_eat,981
mediocre,980
NOT_about,977
ago,974
taking,973
disappointing,973
house,973
bland,969
never,969
NOT_ever,963
yelp,961
shrimp,960
today,959
NOT_been,959
cool,958
ice,957
talk,957
medium,955
guests,954
spend,951
unfortunately,949
stayed,949
sucks,948
overall,946
NOT_their,945
credit,944
deal,943
disgusting,943
serve,941
leaving,939
twice,939
watch,938
employees,936
sent,936
offer,931
avoid,930
short,929
especially,926
mind,926
establishment,921
huge,919
owner,917
working,917
game,915
amazing,915
man,914
NOT_sure,913
fish,912
priced,910
immediately,910
gone,909
somewhere,907
cover,903
enjoy,897
behind,895
soup,894
needs,894
lady,893
saturday,889
rock,889
making,888
days,887
zero,886
rather,886
sad,882
talking,882
must,881
dessert,880
list,880
attention,879
rest,875
ridiculous,874
may,873
looks,872
clearly,870
closed,868
rice,868
seat,867
NOT_return,867
taken,866
NOT_them,865
weekend,865
turned,862
NOT_anything,862
heard,858
might,858
friendly,856
large,855
host,854
situation,851
wish,849
apparently,849
ignored,846
mexican,844
joke,842
nachos,841
dollars,838
NOT_coming,838
salsa,837
NOT_did,834
red,833
NOT_an,832
view,827
treated,827
sandwich,825
save,823
trip,821
lost,821
NOT_from,820
due,820
standing,818
NOT_just,817
week,814
real,814
NOT_anyone,814
mean,812
knew,812
NOT_how,812
NOT_only,809
showed,808
totally,808
NOT_came,807
move,805
job,801
worth,800
forever,800
kids,800
basically,799
excited,795
bathroom,794
local,790
friday,790
noticed,789
cheap,788
recommend,786
able,786
run,785
hope,785
NOT_when,784
fried,783
beers,783
id,782
black,779
life,778
minute,777
mistake,776
obviously,775
stopped,775
atmosphere,774
supposed,772
NOT_restaurant,772
speak,770
plus,770
playing,769
items,767
tonight,766
bouncer,763
quite,762
chef,761
breakfast,759
forgot,758
giving,755
reservations,750
th,748
burgers,748
stop,747
play,745
four,744
unless,743
dishes,742
NOT_order,740
cut,737
buy,736
seems,734
disappointment,733
evening,731
main,730
ordering,729
barely,725
NOT_money,722
fee,721
upon,716
appetizers,715
average,714
usually,712
clubs,711
soon,710
explained,708
gross,707
early,707
rare,706
thanks,705
dj,705
white,705
per,703
amount,702
issue,701
sign,699
honestly,698
longer,697
stand,697
hungry,695
beef,695
sunday,694
lobster,693
clean,690
sweet,689
cost,688
wow,686
NOT_would,683
elsewhere,681
piece,681
believe,680
head,680
crowd,679
hand,679
NOT_by,678
tickets,677
NOT_he,676
bed,676
cash,675
across,673
lack,668
quickly,666
set,663
NOT_got,661
morning,659
spot,659
seen,659
available,658
seem,658
idea,653
telling,652
expected,652
street,652
makes,651
hell,646
NOT_her,645
NOT_table,643
spoke,642
staying,642
pasta,637
booked,634
company,633
finished,633
drunk,633
upset,632
coffee,630
unprofessional,628
plates,628
bouncers,628
tiny,627
vip,624
NOT_very,624
informed,623
gets,623
together,623
NOT_make,622
NOT_bar,620
refused,619
NOT_stay,618
response,616
lounge,616
changed,616
read,616
NOT_bad,616
NOT_drink,615
cocktail,615
NOT_she,615
bacon,614
shit,610
regular,608
NOT_much,608
NOT_will,607
whatever,606
women,602
NOT_people,601
sick,600
pick,600
awesome,600
warm,597
others,596
face,596
thank,593
ruined,593
hear,592
meals,590
number,590
live,588
crap,586
NOT_are,585
NOT_after,585
hair,585
add,584
alcohol,582
NOT_give,582
seating,581
stated,580
simply,574
takes,574
thinking,573
bite,572
hookah,572
cook,572
anyway,571
months,571
send,570
taco,570
greeted,569
multiple,569
near,569
serving,568
non,568
write,565
NOT_let,565
glasses,565
etc,564
goes,563
NOT_want,563
patrons,562
salty,560
size,560
wtf,560
although,559
complete,553
frozen,553
none,552
five,551
return,551
bought,551
cup,550
tv,549
NOT_take,549
ass,546
resort,546
negative,545
woman,545
story,544
parking,544
options,543
employee,543
opened,542
beans,542
NOT_before,541
packed,540
menus,540
bother,538
plenty,538
NOT_more,537
hate,537
needless,537
treat,536
patio,535
nobody,535
pork,530
booth,529
placed,528
stuff,526
crab,526
chance,525
middle,524
except,524
type,524
turn,522
fast,522
decor,520
quick,520
favorite,519
eaten,518
NOT_asked,517
moved,516
girlfriend,516
low,514
tao,514
sucked,513
excuse,512
NOT_experience,511
fresh,511
shot,510
clear,509
within,509
anywhere,508
bucks,508
shame,507
nasty,505
tells,505
NOT_busy,505
NOT_way,502
margarita,501
proceeded,501
NOT_returning,501
stood,501
weird,498
yeah,496
NOT_other,495
NOT_enough,493
ladies,491
cream,490
men,490
buffet,490
eye,489
eggs,489
based,489
industry,488
light,488
NOT_see,487
potatoes,487
along,487
female,486
machine,486
NOT_being,486
crowded,485
NOT_great,485
burnt,484
word,484
waitresses,482
entrance,482
smoke,481
locals,479
contact,478
pieces,478
NOT_hotel,478
hands,477
returned,477
st,476
hold,475
forward,475
delicious,474
NOT_wait,474
NOT_know,473
entrees,472
ran,472
watching,471
bars,470
NOT_drinks,470
seats,470
car,469
hit,468
event,468
NOT_until,467
round,466
salt,461
cause,461
drinking,461
arrive,459
apologized,459
matter,459
double,459
NOT_vegas,458
mac,458
NOT_over,458
bbq,458
simple,457
fix,457
sls,457
french,455
world,454
dropped,450
raw,449
mess,447
NOT_club,447
