biwords,frequency
it was,22707
of the,16133
and the,13127
it s,12394
on the,11452
in the,11156
the food,10673
i was,9844
for the,9765
was a,8626
this place,8336
and i,8235
for a,8133
to the,8110
we were,7898
if you,7808
at the,7610
i had,6734
but i,6622
to be,6595
i would,6530
i m,6179
but the,5977
with a,5846
a littl,5829
servic was,5777
food was,5686
is a,5670
had a,5652
with the,5609
and it,5477
the servic,5386
was good,5325
to get,5127
we had,5126
but it,4863
order the,4678
the bar,4676
they were,4621
a bit,4431
i do,4376
had the,4356
and a,4305
was veri,4217
it is,4164
i did,4138
want to,4110
i ve,4067
this is,4034
on a,4024
have a,3957
a good,3849
in a,3837
so i,3814
was the,3787
from the,3745
there was,3713
which was,3633
good but,3601
i have,3524
had to,3507
a few,3478
i order,3414
the place,3388
one of,3371
i think,3323
go to,3269
to go,3254
lot of,3235
the strip,3179
you re,3171
s a,3170
in vega,3137
the restaur,3122
the menu,3089
they have,2997
the price,2992
you can,2971
a lot,2963
food is,2929
place is,2907
and they,2900
my friend,2887
that i,2859
we order,2834
that s,2795
that was,2769
was pretti,2741
have to,2727
was just,2649
and we,2640
all the,2606
of a,2597
the best,2593
out of,2558
that the,2549
place to,2537
like the,2505
have been,2500
is the,2492
a great,2471
so we,2466
pretti good,2451
when i,2442
to tri,2437
i d,2420
we got,2401
happi hour,2388
a nice,2382
the other,2307
which is,2305
was great,2293
this was,2281
by the,2279
kind of,2247
there are,2245
i could,2244
you are,2221
i like,2208
i am,2208
would have,2188
as well,2182
we did,2175
i got,2173
friend and,2170
when we,2160
the drink,2122
time i,2122
be a,2107
the tabl,2094
get a,2086
would be,2067
the onli,2062
there were,2056
veri good,2050
got the,2047
decid to,2046
if i,2027
our server,2004
tri to,1990
was realli,1982
there is,1965
order a,1960
good and,1960
to have,1948
i love,1916
the server,1914
the same,1906
was ok,1904
food and,1882
come back,1874
they are,1846
like a,1844
i went,1836
for me,1833
drink and,1831
the bartend,1825
i will,1808
here for,1803
to eat,1797
ask for,1776
my husband,1775
las vega,1749
came here,1746
the chicken,1732
at least,1729
that they,1729
i ll,1728
the burger,1728
the room,1723
to a,1705
that it,1693
they had,1678
go back,1676
place was,1673
and was,1660
there s,1635
ve been,1629
to come,1626
at a,1623
