words,frequency
this,54236
good,54023
great,40390
food,39050
place,38996
NOT_the,29653
like,27892
time,27758
order,26193
servic,25968
drink,25615
get,25157
one,24053
bar,22245
vega,22110
would,22007
go,21789
realli,21275
nice,20759
friend,20547
NOT_to,19422
back,18174
also,18097
NOT_a,17667
tri,17600
love,16982
burger,16578
restaur,16429
night,16011
got,15681
come,15511
us,15395
well,14503
pretti,14422
fri,14267
littl,14168
definit,13877
came,13258
tabl,13023
delici,13020
price,12735
menu,12543
no,11679
even,11630
look,11372
NOT_,11297
NOT_it,11095
could,10959
room,10931
peopl,10917
enjoy,10859
beer,10702
make,10657
chicken,10582
strip,10455
want,10400
best,10172
has,10123
star,9735
NOT_of,9672
flavor,9616
went,9593
wait,9573
first,9525
perfect,9521
bit,9451
dish,9232
side,9197
tast,9073
made,9061
dinner,9053
chees,9048
seat,8998
amaz,8979
thing,8967
hour,8856
alway,8813
sauc,8760
steak,8748
recommend,8660
NOT_and,8607
server,8544
right,8504
lot,8430
meal,8286
eat,8149
experi,8120
NOT_i,8078
fun,7941
locat,7901
two,7864
NOT_for,7751
staff,7726
salad,7669
happi,7665
around,7644
check,7631
next,7595
club,7545
top,7543
still,7543
day,7521
area,7459
NOT_in,7453
music,7452
hotel,7392
much,7343
think,7213
though,7195
serv,7186
awesom,7163
way,7145
better,7128
NOT_that,7127
stay,6944
say,6895
take,6779
overal,6751
atmospher,6720
excel,6701
everyth,6508
see,6469
small,6456
NOT_have,6425
visit,6420
ask,6328
give,6294
sinc,6286
NOT_on,6243
tasti,6187
walk,6037
cool,5970
bartend,5963
view,5904
free,5888
spot,5885
sweet,5846
wine,5797
dessert,5792
fresh,5787
sure,5771
NOT_but,5769
favorit,5765
special,5748
NOT_was,5734
end,5680
start,5629
worth,5608
cook,5586
differ,5546
reason,5476
high,5473
big,5456
super,5449
need,5410
casino,5366
ca,5316
new,5292
NOT_as,5287
parti,5277
know,5266
insid,5246
bread,5236
open,5232
lunch,5230
appet,5211
feel,5186
select,5174
seem,5172
pool,5123
danc,5096
portion,5087
cocktail,5068
potato,5022
someth,5017
last,4979
dine,4943
everi,4921
review,4915
took,4857
outsid,4810
play,4795
NOT_like,4774
ever,4759
larg,4748
show,4738
said,4714
expect,4714
crowd,4689
NOT_be,4684
huge,4673
attent,4667
group,4661
las,4656
quick,4647
sit,4599
watch,4586
NOT_you,4578
shrimp,4562
floor,4554
game,4550
minut,4524
NOT_at,4485
actual,4474
NOT_get,4452
taco,4429
howev,4428
decor,4421
long,4404
hot,4383
beef,4380
probabl,4380
guy,4360
find,4357
waiter,4348
mani,4343
anoth,4326
decid,4319
girl,4309
stop,4276
full,4264
share,4253
use,4249
light,4234
line,4222
NOT_too,4191
work,4187
waitress,4180
away,4155
meat,4150
lobster,4134
NOT_with,4129
busi,4125
offer,4087
reserv,4085
enough,4014
egg,3981
chocol,3971
pm,3932
kind,3923
crab,3917
quit,3914
thought,3899
pizza,3883
chip,3878
cours,3847
his,3829
plate,3826
spici,3820
surpris,3780
everyon,3766
beauti,3763
must,3753
decent,3753
coupl,3744
pork,3699
hous,3683
option,3646
note,3643
help,3633
NOT_go,3606
NOT_mi,3590
person,3588
NOT_this,3579
hard,3542
usual,3540
live,3536
size,3507
NOT_so,3505
year,3484
clean,3471
rice,3441
soup,3436
water,3431
loung,3421
mayb,3399
noth,3396
bacon,3395
half,3378
mix,3365
onion,3363
cream,3351
especi,3335
rib,3326
husband,3303
choic,3293
NOT_all,3254
ok,3248
item,3230
NOT_or,3196
sandwich,3185
without,3182
bottl,3180
NOT_much,3174
crispi,3169
wing,3165
ice,3164
local,3153
glass,3153
old,3144
breakfast,3137
main,3134
fish,3122
qualiti,3106
point,3102
NOT_is,3096
part,3094
although,3076
park,3058
close,3046
wonder,3034
town,2995
red,2975
sat,2920
trip,2918
entre,2915
includ,2902
fantast,2901
arriv,2887
late,2887
found,2876
pay,2850
NOT_we,2848
let,2844
garlic,2844
gave,2838
roll,2826
grill,2824
fill,2817
call,2815
list,2801
NOT_place,2776
NOT_bad,2776
almost,2752
NOT_had,2737
yummi,2725
pricey,2720
second,2715
tender,2713
ambianc,2710
bite,2697
weekend,2696
NOT_good,2695
front,2691
three,2691
wish,2689
rock,2685
patio,2684
plenti,2666
margarita,2637
expens,2632
yes,2619
return,2608
told,2591
NOT_realli,2579
put,2569
home,2566
pack,2560
bring,2558
NOT_food,2555
least,2552
hit,2539
NOT_here,2535
season,2532
style,2528
thai,2516
cake,2514
truffl,2493
deal,2490
keep,2490
els,2487
left,2467
wife,2463
thank,2459
name,2458
dip,2450
far,2449
NOT_they,2441
comfort,2441
abl,2435
set,2435
plus,2431
absolut,2421
french,2380
oh,2375
vibe,2372
tip,2361
yelp,2350
mac,2350
door,2342
short,2336
NOT_ani,2313
total,2312
butter,2309
NOT_me,2308
whole,2303
extra,2300
manag,2299
roast,2297
hand,2284
impress,2272
week,2259
dress,2256
sever,2255
felt,2254
smoke,2246
bad,2245
brought,2242
may,2237
NOT_if,2223
instead,2219
slow,2216
bathroom,2213
birthday,2205
tomato,2200
medium,2196
salsa,2194
shot,2193
pasta,2191
famili,2189
white,2188
ate,2184
custom,2172
bun,2170
NOT_there,2162
NOT_out,2161
earli,2161
NOT_know,2161
NOT_wait,2157
less,2157
saturday,2141
mushroom,2136
oyster,2122
chang,2120
suggest,2114
cover,2114
NOT_what,2109
nacho,2102
interest,2099
brunch,2096
green,2093
final,2087
prepar,2087
fan,2079
type,2077
four,2069
NOT_even,2059
street,2058
seafood,2051
loud,2040
chef,2040
NOT_about,2035
shop,2030
NOT_order,2029
amount,2028
fine,2023
head,2007
regular,2003
NOT_want,2002
dj,2001
ladi,1996
might,1992
near,1982
sunday,1977
cut,1976
okay,1973
NOT_sure,1973
bean,1972
easi,1969
friday,1958
bed,1953
NOT_drink,1953
NOT_tri,1940
dark,1938
disappoint,1936
mean,1934
piec,1921
pleasant,1920
rare,1915
fast,1898
hang,1898
saw,1896
guess,1885
shake,1883
talk,1879
space,1879
warm,1879
NOT_time,1878
hope,1872
NOT_your,1868
cold,1862
wall,1856
cheap,1851
relax,1842
uniqu,1836
sport,1834
bowl,1834
care,1832
NOT_becaus,1828
coffe,1824
NOT_disappoint,1824
corn,1820
except,1816
varieti,1812
filet,1806
charg,1803
leav,1798
chill,1798
NOT_were,1796
kid,1794
NOT_one,1794
level,1789
mexican,1788
tell,1783
NOT_great,1775
complaint,1768
finish,1764
fair,1761
ad,1757
along,1757
real,1754
glad,1753
black,1749
pepper,1748
alcohol,1747
NOT_veri,1739
noodl,1733
move,1720
boyfriend,1718
NOT_up,1714
solid,1714
lol,1713
downtown,1708
present,1701
date,1700
later,1698
pleas,1698
strong,1695
rememb,1694
bbq,1694
salmon,1692
chili,1690
outdoor,1690
eye,1683
someon,1682
NOT_eat,1680
duck,1673
italian,1667
money,1662
anyway,1662
averag,1662
NOT_from,1659
turn,1658
toast,1657
hostess,1648
venetian,1644
extrem,1639
juici,1637
booth,1636
NOT_our,1631
NOT_come,1628
guest,1625
dri,1623
NOT_been,1617
add,1614
fact,1613
NOT_expect,1610
tv,1605
consid,1605
etc,1590
grab,1582
pick,1576
bill,1572
tea,1566
blue,1555
miss,1550
NOT_just,1542
across,1533
NOT_back,1532
standard,1531
wo,1527
prefer,1522
NOT_their,1519
choos,1518
slice,1517
stuff,1512
slider,1512
NOT_other,1508
kept,1506
pie,1499
past,1498
rate,1495
NOT_do,1492
pass,1487
slight,1485
NOT_would,1479
honest,1476
book,1476
typic,1469
kitchen,1462
recent,1454
waffl,1453
basic,1452
NOT_anyth,1448
anyth,1436
man,1434
casual,1434
alreadi,1431
yet,1430
read,1429
NOT_them,1429
NOT_vega,1425
tuna,1423
rest,1423
yum,1421
soft,1421
NOT_when,1418
NOT_restaur,1418
crazi,1415
cup,1409
belli,1408
sometim,1407
given,1402
rich,1400
pub,1398
tao,1392
split,1389
rather,1388
entir,1382
run,1378
incred,1376
creami,1372
cute,1368
either,1368
sound,1367
asian,1366
twice,1365
soon,1364
buffet,1363
lamb,1360
base,1359
NOT_us,1358
hip,1355
mash,1354
stand,1353
bone,1353
heard,1351
curri,1347
prime,1344
normal,1341
entertain,1332
spice,1331
martini,1329
palazzo,1328
kinda,1325
middl,1324
happen,1323
NOT_over,1316
veggi,1316
notic,1313
mouth,1310
complet,1309
NOT_an,1307
job,1307
addit,1297
request,1294
modern,1293
celebr,1288
consist,1288
NOT_fan,1287
NOT_are,1284
NOT_enough,1282
ton,1280
avail,1279
certain,1276
problem,1271
NOT_think,1268
immedi,1267
NOT_bar,1256
suit,1254
serious,1254
refil,1249
greet,1248
world,1248
per,1247
simpl,1245
cost,1244
band,1241
sausag,1240
plan,1240
salti,1236
knew,1235
provid,1228
crust,1227
lack,1226
wow,1218
salt,1216
compar,1215
elev,1212
oz,1212
sea,1211
five,1205
unfortun,1203
classic,1202
bellagio,1202
la,1201
NOT_tast,1199
NOT_menu,1197
kick,1191
mention,1191
touch,1191
spend,1191
joint,1186
card,1186
prompt,1185
calamari,1183
tap,1183
meet,1179
NOT_big,1174
citi,1174
pictur,1174
chair,1171
satisfi,1170
believ,1167
NOT_make,1165
wrap,1158
togeth,1158
ring,1152
scallop,1143
ago,1139
NOT_more,1137
hop,1132
NOT_best,1131
due,1130
center,1126
accommod,1125
combin,1124
mind,1124
tuesday,1124
th,1123
often,1123
spinach,1118
readi,1116
gras,1115
event,1112
pan,1112
morn,1111
min,1110
caesar,1109
NOT_feel,1107
melt,1106
pho,1106
dog,1103
NOT_bi,1100
appreci,1100
hear,1096
foie,1096
pickl,1094
mall,1094
tower,1090
generous,1083
bake,1078
round,1076
NOT_how,1076
pair,1075
window,1075
face,1070
buck,1068
stuf,1066
gambl,1065
outstand,1063
island,1060
vodka,1059
non,1059
fat,1057
machin,1054
empti,1052
welcom,1049
chose,1048
sort,1045
textur,1045
easili,1044
american,1042
buy,1042
strawberri,1040
treat,1038
die,1032
month,1032
refresh,1030
low,1028
ingredi,1028
liter,1024
upon,1021
smaller,1020
chop,1019
drop,1016
app,1013
steakhous,1011
NOT_strip,1010
boy,1008
issu,1008
NOT_price,1007
oxtail,1006
entranc,1005
complimentari,1003
opt,1002
host,1002
NOT_befor,1002
dollar,1001
fanci,997
NOT_crowd,995
remind,994
NOT_tabl,992
NOT_look,992
NOT_give,991
stick,986
clam,985
NOT_star,984
receiv,983
separ,978
NOT_night,976
sushi,976
excit,976
age,976
NOT_burger,974
quiet,973
eaten,973
fremont,973
fountain,973
vip,967
drive,966
drunk,966
anyon,965
save,965
lemon,964
ambienc,964
bouchon,964
NOT_long,957
resort,956
life,955
thick,953
fix,952
NOT_rememb,951
smell,951
xs,950
afternoon,947
sign,947
NOT_servic,947
kobe,946
juic,945
seen,943
pop,942
convers,940
hungri,940
NOT_take,939
tvs,939
mini,938
NOT_see,938
NOT_some,937
pour,937
general,937
pull,934
NOT_say,933
grand,933
banana,932
milkshak,930
clear,929
venu,928
girlfriend,928
otherwis,926
paid,924
weird,924
tradit,920
