biwords,frequency
NOT_here NOT_again,728
that you,728
the end,726
NOT_to NOT_get,726
way to,721
us the,718
and get,718
us a,718
walk away,717
them to,717
just a,717
us we,716
over and,713
experi i,711
wait minut,711
look for,710
sat down,710
show up,709
did NOT_want,708
tell me,708
this time,708
from a,707
abl to,706
do NOT_go,706
is that,704
last time,704
NOT_for NOT_a,702
that she,701
side of,700
this point,699
food i,699
server was,699
out to,699
say that,697
told her,695
on our,694
it i,693
NOT_have NOT_a,690
minut and,689
for this,687
said they,686
of it,685
check out,683
after the,682
was terribl,682
NOT_at NOT_the,681
of cours,681
said i,680
the music,678
will NOT_go,677
was my,677
if the,677
like they,676
the peopl,676
hour and,676
away from,675
on it,675
up the,675
for an,674
was ok,672
of all,670
seem like,668
somewher els,666
they re,665
anoth minut,664
as if,664
horribl servic,662
of peopl,661
NOT_we NOT_were,660
it a,658
give this,655
credit card,654
like i,651
this review,647
be the,645
here and,645
the line,644
a nice,644
it had,643
place i,643
so mani,642
just to,642
would NOT_recommend,640
paid for,640
was great,639
night and,639
tell us,637
we just,637
worst servic,637
make sure,636
my order,636
what we,635
i get,635
rest of,634
get to,634
over to,631
gave us,631
top of,631
and got,631
he would,630
my food,629
when they,629
the burger,627
that this,626
down and,625
could give,625
and walk,624
it out,624
proceed to,623
say i,622
for us,622
be seat,622
said he,622
was cold,621
our room,621
of time,620
after a,619
charg for,617
was pretti,617
the fact,617
and drink,616
do NOT_have,616
the custom,615
of them,613
waitress was,613
in it,612
some of,611
part of,610
like to,609
NOT_come NOT_here,608
the wait,607
so much,606
wait and,605
NOT_to NOT_go,605
i love,604
peopl in,603
a parti,603
it back,602
a joke,602
stay away,602
a restaur,601
make it,601
what the,600
and just,600
the bathroom,599
wast of,599
i realli,598
is no,597
he had,597
by a,597
were the,596
around the,596
it came,596
i decid,596
i tri,596
took our,596
i wo,595
a big,593
me the,593
a place,593
the secur,592
do you,592
befor we,591
this hotel,591
room and,590
a differ,589
were so,589
the meal,589
with our,588
NOT_your NOT_time,588
NOT_worth NOT_the,588
i should,587
came over,585
who was,585
she had,585
sit at,584
star i,584
our bill,584
it the,584
NOT_have NOT_to,582
for dinner,582
a reserv,580
vega and,579
was nice,578
we do,578
drink were,576
the back,576
refus to,576
go on,574
said we,573
we all,572
and our,572
we final,570
did NOT_get,570
all i,570
place and,569
to bring,569
now i,568
of their,568
took a,567
the casino,567
lack of,566
was on,566
to vega,565
take a,565
this locat,563
like this,563
NOT_go NOT_here,563
got to,560
NOT_i NOT_was,559
then the,559
and do,558
the fri,558
husband and,558
sinc we,557
i felt,557
give it,557
was like,555
and all,555
have no,555
less than,555
got our,554
i wish,554
you would,554
told that,554
to stay,553
money and,552
a friend,551
to speak,550
have the,550
much better,550
that were,550
the phone,550
got there,549
and servic,549
to call,548
restaur was,547
ve had,546
were there,546
that there,544
time the,543
and go,543
at best,542
NOT_with NOT_the,541
most of,541
you will,541
are you,541
then we,540
our meal,540
my first,538
way too,538
was there,537
wish i,537
make a,537
needless to,537
they will,537
worst experi,536
he could,534
through the,534
our parti,533
after i,532
went there,532
i walk,532
restaur and,531
get it,531
ask her,531
was extrem,531
it up,530
want a,529
in there,529
you ca,528
has been,527
beer and,526
to put,524
said no,521
with this,521
a huge,520
then i,520
the second,520
we paid,520
my girlfriend,519
my famili,518
NOT_and NOT_i,518
a small,518
wife and,517
was NOT_even,517
danc floor,517
were veri,516
NOT_ NOT_minut,516
end of,516
coupl of,515
i mean,515
care of,514
it seem,514
a better,513
the side,513
the host,513
was that,512
is so,512
bottl of,511
and to,511
terribl servic,510
speak to,509
a half,509
onli to,509
was an,508
went here,507
this club,506
when she,505
what was,505
the order,504
up with,504
our group,504
excit to,503
was rude,502
than the,502
made a,502
onli thing,502
just want,502
hour to,502
fact that,501
on their,499
cold and,499
and food,498
were a,498
pick up,497
bad servic,496
is just,496
ask me,494
sinc i,494
in for,493
they charg,493
all over,492
NOT_worth NOT_it,492
restaur in,492
chip and,491
so they,491
and went,490
was onli,490
with us,490
we get,489
NOT_and NOT_the,488
a server,488
secur guard,488
i saw,487
my drink,487
wait in,486
NOT_it s,486
i understand,486
the situat,485
you could,485
minut befor,484
know that,483
ask us,483
felt like,482
a beer,482
it did,481
befor i,481
been here,481
of that,481
came with,480
us in,480
to watch,479
veri rude,479
at that,478
plenti of,478
readi to,477
of money,477
the wrong,476
it look,475
wait to,475
for drink,475
the floor,475
but when,474
water and,474
i left,474
down to,472
been a,472
servic we,472
what you,472
said she,472
sat at,472
their food,470
was also,470
her to,470
in to,470
has a,470
NOT_a NOT_good,469
watch the,469
save your,468
we end,467
so it,467
waiter was,466
she would,466
him to,466
glass of,464
manag was,464
to talk,464
long time,463
ask him,463
was too,463
i were,462
offer to,461
too much,461
NOT_the NOT_,461
for about,461
we can,461
onli one,460
feel like,460
for you,460
the street,459
the day,457
to her,457
us for,457
give us,457
and tri,456
and still,455
while we,455
gave me,454
so the,454
for some,454
took forev,454
NOT_know NOT_what,452
were in,452
for that,452
say the,452
is veri,451
it off,451
the main,451
to walk,451
the ladi,451
i hope,450
and order,450
we tri,450
this one,450
are a,448
for two,448
come in,448
around and,447
NOT_had NOT_to,447
you know,447
you to,447
see the,447
bartend was,447
staff was,447
drink i,447
from this,446
and say,446
she could,444
the plate,444
was still,444
a while,443
food the,443
NOT_in NOT_a,443
we told,442
out i,441
here i,440
room was,440
went in,439
final got,439
s just,439
attempt to,438
were all,438
NOT_be NOT_return,438
did NOT_know,438
