words,frequency
pick,783
NOT_wait,782
regular,781
bare,778
includ,774
run,773
worth,769
rock,769
desk,752
anyway,751
rest,750
saturday,747
gone,747
salt,746
twice,746
excel,746
beauti,743
share,742
park,741
pack,737
cream,737
cost,737
save,737
NOT_see,736
yelp,736
famili,735
real,734
surpris,734
mac,733
issu,728
read,726
amount,725
perfect,723
bean,719
coffe,715
wonder,714
past,714
shot,714
trip,711
care,710
dollar,708
NOT_other,707
consid,706
apolog,704
friday,704
fill,703
kept,703
meh,702
aw,701
NOT_either,700
ridicul,699
refil,699
NOT_take,696
french,696
wish,695
either,693
NOT_bi,693
tini,692
boyfriend,692
request,692
bed,683
readi,679
ago,673
pleas,673
weekend,671
NOT_are,671
NOT_check,670
NOT_more,669
heard,668
mention,666
NOT_pay,662
earli,662
favorit,656
forev,653
type,652
street,652
ambianc,651
fair,651
garlic,650
warm,650
present,649
dj,645
patio,644
attitud,641
hit,640
cup,638
base,638
impress,636
smell,633
NOT_care,632
tomato,631
weird,625
sunday,616
NOT_until,614
cheap,611
four,611
NOT_say,608
spici,607
sound,607
annoy,606
drop,606
bowl,606
NOT_look,603
bun,601
abl,601
eye,599
NOT_tri,598
mind,598
NOT_her,597
phone,597
interest,596
host,595
somewher,595
NOT_came,594
white,592
NOT_experi,591
sign,589
NOT_peopl,589
greet,588
obvious,587
filet,587
tao,585
forgot,584
dirti,583
due,581
book,579
dip,578
explain,576
dark,573
suggest,573
write,571
thai,571
cake,569
NOT_bar,569
behind,567
knew,567
NOT_over,565
standard,564
pepper,564
NOT_after,560
bbq,560
figur,558
appar,557
fast,552
hate,552
per,551
hear,551
employe,550
unless,549
immedi,548
NOT_seem,546
non,546
NOT_give,546
taken,545
etc,545
slider,545
butter,544
fee,544
black,543
alcohol,543
overcook,541
tv,541
plenti,541
NOT_way,541
green,541
NOT_menu,538
middl,536
grab,535
hungri,533
buy,532
corn,532
normal,531
man,530
tea,530
oyster,530
seafood,529
certain,528
NOT_money,528
NOT_he,527
yet,526
chocol,526
NOT_stay,526
spent,525
wall,523
frozen,522
style,521
idea,520
slice,519
elsewher,517
ad,517
machin,517
resort,517
stick,515
space,513
pictur,512
booth,512
bouncer,511
NOT_friend,510
across,508
NOT_meal,507
realiz,507
secur,506
togeth,506
face,504
wors,504
tender,501
month,500
buffet,499
prepar,498
ignor,498
low,497
upon,495
sent,495
pull,495
prime,494
NOT_she,493
avail,492
stuff,491
whatev,491
longer,489
tough,488
NOT_work,488
NOT_will,485
celebr,483
add,481
today,481
pricey,478
mess,477
job,475
italian,475
question,475
buck,472
NOT_long,469
truffl,469
kinda,468
NOT_feel,468
