cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
day cocktail,1.0,rancher cocktail,1.0,bunch cocktail,2.0,cocktail choos,3.0,cocktail work,5
cocktail apéritif,1.0,cocktail hear,1.0,cocktail websit,2.0,negat cocktail,3.0,singl cocktail,5
apéritif cocktail,1.0,cocktail stephani,1.0,went cocktail,2.0,cocktail leav,3.0,fruit cocktail,5
tl cocktail,1.0,cocktail grit,1.0,cocktail cup,2.0,share cocktail,3.0,secret cocktail,5
cocktail believ,1.0,pop cocktail,1.0,side cocktail,2.0,coffe cocktail,3.0,notaddcocktail notaddor,5
cocktail night,1.0,fun cocktail,1.0,cocktail lobster,2.0,cocktail cup,3.0,four cocktail,5
notaddcocktail mr,1.0,cocktail visit,1.0,cocktail recommend,2.0,miss cocktail,3.0,cocktail portion,5
notaddcocktail notaddgirl,1.0,app cocktail,1.0,follow cocktail,2.0,cocktail ingredi,3.0,eat cocktail,5
area cocktail,1.0,cocktail use,1.0,cocktail follow,2.0,notadddrink cocktail,3.0,choic cocktail,5
cocktail mixer,1.0,jwb cocktail,1.0,mayb cocktail,2.0,notaddcocktail notaddar,3.0,cocktail decent,5
everywher cocktail,1.0,cocktail mixer,1.0,proper cocktail,2.0,cocktail arriv,3.0,cocktail insid,5
hire cocktail,1.0,waiter cocktail,1.0,name cocktail,2.0,skinni cocktail,3.0,mixologist cocktail,5
best cocktail,1.0,cocktail champagn,1.0,notaddon notaddcocktail,2.0,incred cocktail,3.0,must cocktail,5
except cocktail,1.0,eat cocktail,1.0,cocktail jingerb,2.0,cocktail coupl,3.0,half cocktail,5
entir cocktail,1.0,less cocktail,1.0,pm cocktail,2.0,peopl cocktail,3.0,cocktail cheap,5
good notaddcocktail,1.0,mess cocktail,1.0,notaddcocktail better,2.0,cocktail expect,3.0,cocktail hot,5
notaddcocktail know,1.0,cocktail twice,1.0,cocktail lamara,2.0,aviat cocktail,3.0,cocktail mixologist,5
cocktail kid,1.0,notaddcharg cocktail,1.0,basic cocktail,2.0,etc cocktail,3.0,pm cocktail,5
friday cocktail,1.0,cocktail sticki,1.0,cocktail top,2.0,cocktail chocol,3.0,cocktail aficionado,5
cocktail hair,1.0,finish cocktail,1.0,cocktail fair,2.0,funki cocktail,3.0,cocktail bf,5
wear cocktail,1.0,client cocktail,1.0,cocktail dine,2.0,cocktail sake,3.0,cocktail better,5
notaddani notaddcocktail,1.0,sweet cocktail,1.0,cocktail french,2.0,cocktail care,3.0,cocktail entertain,5
notaddcocktail notaddyou,1.0,cocktail thought,1.0,minut cocktail,2.0,daughter cocktail,3.0,app cocktail,5
select cocktail,1.0,cocktail ensu,1.0,game cocktail,2.0,cocktail type,3.0,cocktail without,5
cocktail choos,1.0,notaddcandi notaddcocktail,1.0,friday cocktail,2.0,cocktail fish,3.0,cocktail welcom,5
cocktail pool,1.0,notaddcocktail notaddwer,1.0,away cocktail,2.0,cocktail finish,3.0,notaddcocktail notaddperson,5
plan cocktail,1.0,frou notaddcocktail,1.0,park cocktail,2.0,sake cocktail,3.0,cocktail life,5
cocktail lunch,1.0,notaddcocktail fun,1.0,cocktail screw,1.0,cocktail filet,3.0,stellar cocktail,5
cocktail bet,1.0,notaddspecialti notaddcocktail,1.0,nearbi cocktail,1.0,readi cocktail,3.0,cocktail notadddisappoint,5
cocktail save,1.0,cocktail notaddan,1.0,confus cocktail,1.0,cocktail salad,3.0,cocktail name,5
cocktail suggest,1.0,cocktail recent,1.0,purchas cocktail,1.0,cocktail pick,3.0,cocktail sever,5
ago cocktail,1.0,everyth cocktail,1.0,grapevin cocktail,1.0,half cocktail,3.0,cocktail guy,5
cocktail reason,1.0,cocktail unimpress,1.0,sober cocktail,1.0,tap cocktail,3.0,gorgeous cocktail,5
limead cocktail,1.0,salti cocktail,1.0,notaddfrozen notaddcocktail,1.0,cocktail bill,3.0,lunch cocktail,5
sound cocktail,1.0,cocktail canrememb,1.0,proof cocktail,1.0,cocktail gf,3.0,cocktail consist,5
remak cocktail,1.0,cocktail mojito,1.0,cocktail dozen,1.0,cocktail main,3.0,expect cocktail,5
cocktail ambienc,1.0,cocktail strang,1.0,cocktail strawberri,1.0,cocktail mojito,3.0,cocktail avail,5
notaddtim cocktail,1.0,cocktail overal,1.0,cocktail pub,1.0,option cocktail,3.0,sit cocktail,5
cool cocktail,1.0,cocktail sunda,1.0,cocktail crawl,1.0,add cocktail,3.0,cocktail along,5
alibi cocktail,1.0,cocktail watch,1.0,notaddcocktail notadduntil,1.0,point cocktail,3.0,cocktail star,5
saw cocktail,1.0,custom cocktail,1.0,blend cocktail,1.0,choic cocktail,3.0,cocktail surpris,5
cocktail shot,1.0,cocktail accustom,1.0,later cocktail,1.0,cocktail raspberri,3.0,space cocktail,5
meal cocktail,1.0,cocktail pool,1.0,cocktail grasshopp,1.0,cocktail day,3.0,cocktail easi,5
cocktail suppos,1.0,attract cocktail,1.0,cocktail ordinari,1.0,cocktail option,3.0,option cocktail,5
cocktail make,1.0,cocktail fantast,1.0,cocktail elsewher,1.0,cocktail constant,3.0,notaddfor notaddcocktail,5
polit cocktail,1.0,saw cocktail,1.0,cocktail skip,1.0,cocktail person,3.0,cocktail handcraft,5
overcharg cocktail,1.0,cocktail tatiana,1.0,highlight cocktail,1.0,everi cocktail,3.0,notaddcocktail notaddwith,5
cocktail plus,1.0,notaddmix notaddcocktail,1.0,junip cocktail,1.0,hang cocktail,3.0,cocktail pair,5
cocktail snake,1.0,cocktail screw,1.0,goos cocktail,1.0,game cocktail,3.0,cocktail anoth,5
cocktail push,1.0,cream cocktail,1.0,color cocktail,1.0,swanki cocktail,3.0,cocktail differ,5
amber cocktail,1.0,instead cocktail,1.0,cocktail summerlin,1.0,cocktail ran,3.0,cocktail horseradish,5
bjs cocktail,1.0,damn cocktail,1.0,ingredi cocktail,1.0,glass cocktail,3.0,cocktail especi,5
mina cocktail,1.0,dog cocktail,1.0,eck cocktail,1.0,cocktail hit,3.0,think cocktail,5
cocktail chardo,1.0,notaddcocktail disappoint,1.0,notaddsak notaddcocktail,1.0,cocktail burger,3.0,cocktail exquisit,5
cocktail planet,1.0,larg cocktail,1.0,notaddcocktail notaddguess,1.0,cocktail work,3.0,use cocktail,5
cocktail doubl,1.0,cocktail sure,1.0,taquito cocktail,1.0,gorgeous cocktail,3.0,cocktail ok,5
juic cocktail,1.0,attent cocktail,1.0,floor cocktail,1.0,cocktail spot,3.0,world cocktail,5
cocktail mind,1.0,delici cocktail,1.0,calamari cocktail,1.0,smash cocktail,3.0,cocktail though,5
killer cocktail,1.0,cocktail fail,1.0,huge cocktail,1.0,deal cocktail,3.0,cocktail side,5
cocktail boyfriend,1.0,meth cocktail,1.0,cocktail ugliest,1.0,cold cocktail,3.0,cocktail seafood,5
espresso cocktail,1.0,cocktail special,1.0,ehhh cocktail,1.0,cocktail overpr,3.0,cocktail ambienc,5
cocktail super,1.0,among cocktail,1.0,hand cocktail,1.0,cocktail flavor,3.0,phenomen cocktail,5
flower cocktail,1.0,cocktail buzzworthi,1.0,cocktail outsid,1.0,cocktail everyday,3.0,notaddcocktail order,5
industri cocktail,1.0,cocktail foie,1.0,cocktail brais,1.0,cocktail easili,3.0,cocktail equal,5
half cocktail,1.0,sangria cocktail,1.0,cocktail tapa,1.0,cocktail cultur,3.0,prefer cocktail,5
cocktail qualiti,1.0,request cocktail,1.0,gun cocktail,1.0,notaddcocktail notaddwhen,3.0,cocktail need,5
enough cocktail,1.0,cocktail notaddspeci,1.0,cocktail crowd,1.0,cocktail smoothi,3.0,earli cocktail,5
cocktail show,1.0,cool cocktail,1.0,notaddenough notaddcocktail,1.0,cocktail let,3.0,worth cocktail,5
compliementari cocktail,1.0,sugari cocktail,1.0,cocktail fan,1.0,heard cocktail,3.0,bottl cocktail,5
notaddwhat cocktail,1.0,modern cocktail,1.0,cocktail practic,1.0,cocktail wife,3.0,solid cocktail,5
cocktail non,1.0,cocktail light,1.0,georg cocktail,1.0,cocktail lover,3.0,old cocktail,5
cocktail minut,1.0,cocktail bisqu,1.0,pill cocktail,1.0,last cocktail,3.0,cocktail thing,5
cocktail entre,1.0,beverag cocktail,1.0,elev cocktail,1.0,ingredi cocktail,3.0,cocktail pool,5
pub cocktail,1.0,cocktail notaddif,1.0,digit cocktail,1.0,cocktail cabl,3.0,strip cocktail,5
fact notaddcocktail,1.0,contain cocktail,1.0,nacho cocktail,1.0,cocktail respect,3.0,wish cocktail,5
glass cocktail,1.0,readi cocktail,1.0,cocktail notaddthat,1.0,decor cocktail,3.0,notaddcocktail notaddloung,5
halloween cocktail,1.0,cocktail side,1.0,option cocktail,1.0,minut cocktail,3.0,cocktail visit,5
cocktail cute,1.0,cocktail lot,1.0,cocktail true,1.0,take cocktail,3.0,cocktail damn,5
cocktail uniqu,1.0,bouchon cocktail,1.0,okay cocktail,1.0,cocktail sampl,3.0,mention cocktail,5
snakebit notaddcocktail,1.0,cocktail bh,1.0,cocktail cc,1.0,opt cocktail,3.0,cocktail find,5
notaddcocktail bad,1.0,cours cocktail,1.0,eaten cocktail,1.0,notaddfor notaddcocktail,3.0,cocktail least,5
rang cocktail,1.0,cocktail unaccept,1.0,cocktail generic,1.0,plus cocktail,3.0,peopl cocktail,5
categor cocktail,1.0,cook cocktail,1.0,notaddcocktail main,1.0,cocktail stiff,3.0,glass cocktail,5
cocktail digestif,1.0,juici cocktail,1.0,cocktail bushido,1.0,cocktail craft,3.0,offer cocktail,5
major cocktail,1.0,cocktail knock,1.0,broken cocktail,1.0,cocktail kinda,3.0,cocktail expens,4
cocktail run,1.0,cocktail downhil,1.0,four cocktail,1.0,cocktail fine,3.0,blond cocktail,4
notaddcocktail notaddticket,1.0,outing cocktail,1.0,cactus cocktail,1.0,fri cocktail,3.0,notaddcocktail this,4
cocktail practic,1.0,strong cocktail,1.0,summer cocktail,1.0,least cocktail,3.0,cocktail fan,4
frozen cocktail,1.0,cocktail bbq,1.0,notaddcocktail notaddloung,1.0,notaddcocktail notaddservic,3.0,hang cocktail,4
cocktail nasti,1.0,favorit cocktail,1.0,roll cocktail,1.0,cocktail spent,3.0,liquor cocktail,4
name cocktail,1.0,cocktail pillow,1.0,cocktail mean,1.0,view cocktail,3.0,cocktail might,4
cocktail spot,1.0,cocktail total,1.0,reason cocktail,1.0,wish cocktail,3.0,chill cocktail,4
notaddcocktail notaddsay,1.0,shame cocktail,1.0,cocktail yuzu,1.0,cocktail pm,3.0,velvet cocktail,4
pkwi cocktail,1.0,cocktail larg,1.0,notaddbefor cocktail,1.0,work cocktail,3.0,seat cocktail,4
cocktail addit,1.0,exact cocktail,1.0,buy cocktail,1.0,pool cocktail,3.0,notaddor notaddcocktail,4
cocktail saw,1.0,notaddnam notaddcocktail,1.0,dorsey cocktail,1.0,watch cocktail,3.0,peach cocktail,4
ingredi cocktail,1.0,crap cocktail,1.0,cocktail harajuku,1.0,cocktail forget,3.0,cocktail impress,4
cocktail specialti,1.0,cocktail crappier,1.0,mixologist cocktail,1.0,told cocktail,3.0,cocktail although,4
notaddthes notaddcocktail,1.0,pedi cocktail,1.0,cocktail current,1.0,reason cocktail,3.0,lyche cocktail,4
notaddcocktail notaddeith,1.0,notaddhav notaddcocktail,1.0,valu cocktail,1.0,cocktail mayb,3.0,notaddcocktail notaddher,4
notaddp notaddcocktail,1.0,notaddcocktail notaddaccord,1.0,cocktail ambianc,1.0,cocktail away,3.0,cocktail chill,4
forgot cocktail,1.0,cocktail notwithstand,1.0,cocktail connect,1.0,cocktail minut,3.0,delight cocktail,4
cocktail explain,1.0,cocktail blah,1.0,cocktail convers,1.0,cocktail slider,3.0,cocktail style,4
notaddplac cocktail,1.0,infus cocktail,1.0,cattl cocktail,1.0,notaddcocktail notaddwith,3.0,cocktail napkin,4
notaddticket cocktail,1.0,rip cocktail,1.0,cocktail soooo,1.0,cocktail guess,3.0,cocktail long,4
husband cocktail,1.0,hipster cocktail,1.0,beg cocktail,1.0,cocktail walk,3.0,cocktail group,4
notaddmovi cocktail,1.0,oyster cocktail,1.0,notch cocktail,1.0,cocktail soda,3.0,cocktail sake,4
cocktail flatbread,1.0,cocktail strong,1.0,cocktail suprem,1.0,notaddand notaddcocktail,3.0,cocktail general,4
wake cocktail,1.0,vesper cocktail,1.0,blvd cocktail,1.0,blackberri cocktail,3.0,strawberri cocktail,4
cocktail long,1.0,cocktail staff,1.0,cocktail communiti,1.0,cocktail oyster,3.0,cocktail strawberri,4
notaddcocktail notaddar,1.0,cocktail sloppi,1.0,funki cocktail,1.0,cocktail ladi,3.0,cocktail oh,4
cocktail averag,1.0,cocktail ignor,1.0,cocktail sign,1.0,steakhous cocktail,3.0,cocktail enough,4
notaddcocktail definit,1.0,cocktail cool,1.0,mistaken cocktail,1.0,cocktail imagin,3.0,fri cocktail,4
style cocktail,1.0,lieu cocktail,1.0,cocktail fire,1.0,cocktail moscow,3.0,cocktail cucumb,4
plum cocktail,1.0,cocktail space,1.0,formid cocktail,1.0,cocktail opt,3.0,notaddcocktail notaddbecaus,4
silli cocktail,1.0,problem cocktail,1.0,samurai cocktail,1.0,cocktail notadda,3.0,cocktail close,4
cocktail littl,1.0,cocktail wild,1.0,headlin cocktail,1.0,cocktail experi,3.0,cocktail coffe,4
sad cocktail,1.0,cocktail whiskey,1.0,cocktail clock,1.0,cocktail new,3.0,cocktail shaker,4
cocktail split,1.0,bowl cocktail,1.0,cocktail greasi,1.0,has cocktail,3.0,charit cocktail,4
nasti cocktail,1.0,notaddcocktail notaddtasti,1.0,cocktail dollar,1.0,cocktail bowl,3.0,cocktail keep,4
ginger cocktail,1.0,cocktail bottl,1.0,cocktail shaker,1.0,expect cocktail,3.0,appreci cocktail,4
cocktail far,1.0,notaddcrappi notaddcocktail,1.0,straight cocktail,1.0,danc cocktail,3.0,cocktail italian,4
numer cocktail,1.0,notaddcocktail weak,1.0,cocktail better,1.0,sound cocktail,3.0,around cocktail,4
popular cocktail,1.0,blah cocktail,1.0,multipl cocktail,1.0,cocktail mani,3.0,cocktail fish,4
infus cocktail,1.0,cocktail juic,1.0,negat cocktail,1.0,skip cocktail,3.0,cocktail probabl,4
worthi cocktail,1.0,ask cocktail,1.0,skip cocktail,1.0,cocktail rememb,3.0,pricey cocktail,4
cocktail star,1.0,cocktail sinc,1.0,present cocktail,1.0,absinth cocktail,3.0,cocktail craftsmanship,4
anyth cocktail,1.0,opt cocktail,1.0,cocktail lit,1.0,notaddcocktail this,3.0,cocktail glad,4
cocktail youll,1.0,notaddfountain cocktail,1.0,blackberri cocktail,1.0,cocktail brunch,3.0,cocktail salad,4
origin cocktail,1.0,cocktail umami,1.0,whiskey cocktail,1.0,sexi cocktail,3.0,espresso cocktail,4
cocktail ord,1.0,help cocktail,1.0,cocktail concoct,1.0,fabul cocktail,3.0,cocktail libat,4
cocktail card,1.0,bartend notaddcocktail,1.0,dress cocktail,1.0,cocktail blood,3.0,ginger cocktail,4
notaddto notaddcocktail,1.0,notaddcocktail notaddavail,1.0,cream cocktail,1.0,cocktail base,3.0,speak cocktail,4
notaddcocktail huh,1.0,notaddjok cocktail,1.0,cocktail overal,1.0,weak cocktail,3.0,cocktail balanc,4
cocktail piec,1.0,notaddwith cocktail,1.0,gave cocktail,1.0,beauti cocktail,3.0,cocktail bourbon,4
cocktail name,1.0,notaddcocktail notaddi,1.0,god cocktail,1.0,instead cocktail,3.0,cocktail impecc,4
getaway cocktail,1.0,tina cocktail,1.0,cocktail lite,1.0,cocktail say,3.0,star cocktail,4
guess cocktail,1.0,freemont cocktail,1.0,cocktail mani,1.0,pretti cocktail,3.0,regular cocktail,4
spill cocktail,1.0,cocktail delish,1.0,annoy cocktail,1.0,basic cocktail,3.0,cherri cocktail,4
cocktail cell,1.0,tab cocktail,1.0,cocktail wil,1.0,notaddsweet notaddcocktail,3.0,review cocktail,4
promot cocktail,1.0,cocktail unsatisfactori,1.0,stick cocktail,1.0,cocktail horseradish,3.0,stir cocktail,4
cocktail final,1.0,chupa cocktail,1.0,cocktail prompt,1.0,cocktail long,3.0,share cocktail,4
cocktail bachelorett,1.0,cocktail kind,1.0,tat cocktail,1.0,item cocktail,3.0,cocktail simpli,4
cocktail nice,1.0,one notaddcocktail,1.0,griffin notaddcocktail,1.0,cocktail seat,3.0,cocktail run,4
cocktail end,1.0,cocktail fair,1.0,notaddcocktail extens,1.0,notaddyour notaddcocktail,3.0,intim cocktail,4
prearrang cocktail,1.0,serious cocktail,1.0,notaddcharg cocktail,1.0,cocktail honest,3.0,cocktail era,4
cocktail crawl,1.0,staff cocktail,1.0,cocktail leav,1.0,cool cocktail,3.0,imagin cocktail,4
ass cocktail,1.0,boozi cocktail,1.0,cocktail quick,1.0,tiki cocktail,3.0,jalapeño cocktail,4
mojito cocktail,1.0,end cocktail,1.0,somewher cocktail,1.0,crafti cocktail,3.0,cocktail unfortun,4
cocktail aiight,1.0,strip cocktail,1.0,grapefruit cocktail,1.0,cocktail howev,3.0,help cocktail,4
cocktail understand,1.0,awesom cocktail,1.0,cevich cocktail,1.0,bad cocktail,3.0,artisan cocktail,4
flavor cocktail,1.0,went cocktail,1.0,settl cocktail,1.0,cocktail abl,3.0,notaddclass notaddcocktail,4
notaddcocktail notaddw,1.0,cocktail tappa,1.0,cocktail blue,1.0,impress cocktail,3.0,cocktail shaken,4
porter cocktail,1.0,notadd cocktail,1.0,cocktail flirt,1.0,cocktail end,3.0,cocktail game,4
wateri cocktail,1.0,outrag cocktail,1.0,sneak cocktail,1.0,serious cocktail,3.0,notaddcocktail notaddto,4
cocktail upon,1.0,cocktail ran,1.0,qualiti cocktail,1.0,cocktail cool,3.0,group cocktail,4
cocktail friday,1.0,cocktail dare,1.0,person cocktail,1.0,pay cocktail,3.0,notaddcocktail notaddin,4
cocktail dessert,1.0,cover cocktail,1.0,notaddaround cocktail,1.0,cocktail absolut,3.0,cocktail pork,4
lemon cocktail,1.0,cocktail burger,1.0,cocktail martini,1.0,cocktail featur,3.0,cocktail took,4
cocktail interest,1.0,notaddwa cocktail,1.0,ladi cocktail,1.0,name cocktail,3.0,dress cocktail,4
notaddthem cocktail,1.0,cocktail chines,1.0,cocktail patio,1.0,true cocktail,3.0,shake cocktail,4
cocktail nacho,1.0,cocktail sin,1.0,bitch cocktail,1.0,quit cocktail,3.0,superb cocktail,4
definit cocktail,1.0,booz cocktail,1.0,buff cocktail,1.0,thought cocktail,3.0,terrif cocktail,4
cocktail uber,1.0,tasti cocktail,1.0,yes cocktail,1.0,cocktail sever,3.0,cocktail basic,4
cocktail adult,1.0,notaddani notaddcocktail,1.0,cocktail empti,1.0,school cocktail,3.0,decid cocktail,4
cocktail form,1.0,game cocktail,1.0,long cocktail,1.0,mango cocktail,3.0,cocktail late,4
liquor cocktail,1.0,cocktail unless,1.0,notaddcocktail notaddspeci,1.0,cocktail dollar,3.0,theme cocktail,4
cocktail anyth,1.0,cocktail cold,1.0,xs cocktail,1.0,ish cocktail,3.0,spectacular cocktail,4
drank cocktail,1.0,except cocktail,1.0,cocktail may,1.0,notaddcocktail notaddloung,3.0,cocktail parti,4
notaddcocktail notaddsauc,1.0,reorder cocktail,1.0,origin cocktail,1.0,notaddshrimp notaddcocktail,3.0,cocktail sort,4
notadds notaddcocktail,1.0,cocktail final,1.0,cocktail meant,1.0,pass cocktail,3.0,except cocktail,4
notaddcocktail notaddloung,1.0,exist cocktail,1.0,notaddbut notaddcocktail,1.0,app cocktail,3.0,cocktail his,4
cocktail disappoint,1.0,cocktail describ,1.0,notaddcocktail notaddt,1.0,his cocktail,3.0,cocktail starter,4
notaddthi notaddcocktail,1.0,afternoon cocktail,1.0,notadddrink cocktail,1.0,cocktail dri,3.0,popular cocktail,4
hand cocktail,1.0,cocktail weird,1.0,cocktail favorit,1.0,killer cocktail,3.0,seafood cocktail,4
slushi cocktail,1.0,cocktail green,1.0,torn cocktail,1.0,notaddclass notaddcocktail,3.0,cocktail play,4
cocktail though,1.0,notaddcocktail notaddthey,1.0,cocktail compet,1.0,convers cocktail,3.0,chocol cocktail,4
profession cocktail,1.0,notaddask cocktail,1.0,unparallel cocktail,1.0,much cocktail,3.0,cocktail flavor,4
cocktail half,1.0,notaddcocktail server,1.0,cocktail prepar,1.0,cocktail bore,3.0,cocktail rum,4
alcohol cocktail,1.0,ok cocktail,1.0,intriquit cocktail,1.0,notaddwith notaddcocktail,3.0,overpr cocktail,4
cocktail pregnant,1.0,cocktail suck,1.0,cocktail notadda,1.0,cocktail etc,3.0,definit cocktail,4
poor cocktail,1.0,volum cocktail,1.0,cocktail bring,1.0,cocktail half,3.0,bouchon cocktail,4
cold cocktail,1.0,new cocktail,1.0,cocktail tax,1.0,cocktail side,3.0,oyster cocktail,4
later cocktail,1.0,junip cocktail,1.0,cocktail eat,1.0,cocktail second,3.0,hibiscus cocktail,4
check cocktail,1.0,premium cocktail,1.0,fan cocktail,1.0,enough cocktail,3.0,cocktail raspberri,4
cocktail us,1.0,cocktail happi,1.0,cocktail tho,1.0,cocktail piec,3.0,cocktail split,4
cocktail prompt,1.0,whore cocktail,1.0,simpleass cocktail,1.0,cocktail barrymor,3.0,handmad cocktail,4
cocktail listen,1.0,hakkasan cocktail,1.0,notaddcoupl notaddcocktail,1.0,stuff cocktail,3.0,cocktail regular,4
cocktail delici,1.0,cocktail highlight,1.0,notaddcocktail quit,1.0,els cocktail,3.0,cocktail chose,4
exact cocktail,1.0,cocktail attent,1.0,space cocktail,1.0,cocktail complimentari,3.0,told cocktail,4
notaddcocktail one,1.0,notaddfe cocktail,1.0,peopl notaddcocktail,1.0,cocktail various,3.0,knee cocktail,4
prep cocktail,1.0,cocktail sat,1.0,notaddcocktail us,1.0,addit cocktail,3.0,cocktail vibe,4
cocktail charg,1.0,perus cocktail,1.0,share cocktail,1.0,cocktail contain,3.0,coconut cocktail,4
notaddcocktail surpris,1.0,notaddmuch cocktail,1.0,cocktail tina,1.0,bill cocktail,3.0,portion cocktail,4
varieti cocktail,1.0,cocktail decent,1.0,cocktail comment,1.0,belli cocktail,2.0,cocktail tequila,4
cocktail may,1.0,artisan cocktail,1.0,basil cocktail,1.0,notaddcocktail notaddbecaus,2.0,smash cocktail,4
attent cocktail,1.0,cocktail aviat,1.0,ear cocktail,1.0,cocktail casual,2.0,bogo cocktail,4
cocktail due,1.0,aviat cocktail,1.0,nobhil cocktail,1.0,cocktail notaddb,2.0,notaddsweet notaddcocktail,4
cocktail imposs,1.0,cocktail rare,1.0,cocktail signatur,1.0,balanc cocktail,2.0,cocktail whole,4
cocktail hour,1.0,savori cocktail,1.0,suppos cocktail,1.0,various cocktail,2.0,cocktail tiki,4
cocktail take,1.0,refil cocktail,1.0,cocktail notaddsoft,1.0,notaddcrazi notaddcocktail,2.0,prepar cocktail,4
cocktail ten,1.0,sandwich cocktail,1.0,cocktail min,1.0,cocktail negat,2.0,mezcal cocktail,4
could cocktail,1.0,creme cocktail,1.0,cocktail his,1.0,famous cocktail,2.0,cocktail painkil,4
essenti cocktail,1.0,actual cocktail,1.0,dd cocktail,1.0,thank cocktail,2.0,cocktail flow,4
cocktail coupl,1.0,real cocktail,1.0,cocktail bumpin,1.0,cocktail vino,2.0,cocktail dine,4
bogo cocktail,1.0,notaddcocktail notaddar,1.0,cocktail read,1.0,cocktail previous,2.0,name cocktail,4
cocktail turn,1.0,cocktail hot,1.0,cocktail horseradish,1.0,cocktail mmmm,2.0,cocktail deliv,4
cocktail normal,1.0,clad cocktail,1.0,result cocktail,1.0,pop cocktail,2.0,cocktail tell,4
cocktail week,1.0,poor cocktail,1.0,shitti cocktail,1.0,pitcher cocktail,2.0,chang cocktail,4
cocktail marinara,1.0,cocktail cosmo,1.0,notaddwork notaddcocktail,1.0,cocktail miss,2.0,pineappl cocktail,4
notaddcocktail well,1.0,cocktail stellar,1.0,notaddcocktail notaddon,1.0,portion cocktail,2.0,cocktail far,4
notaddther notaddcocktail,1.0,orient cocktail,1.0,mom cocktail,1.0,cocktail hh,2.0,cocktail verbena,4
notaddcocktail notaddserv,1.0,notaddeith notaddcocktail,1.0,clean cocktail,1.0,cocktail round,2.0,cocktail seen,4
regular cocktail,1.0,notaddcocktail simpli,1.0,notaddcocktail notaddservic,1.0,cocktail consist,2.0,notaddcocktail notaddwaitress,4
cocktail later,1.0,cocktail finess,1.0,tradit cocktail,1.0,find cocktail,2.0,choos cocktail,4
cocktail meet,1.0,cocktail top,1.0,cocktail recept,1.0,bean cocktail,2.0,cocktail liquor,4
cucumb cocktail,1.0,lemonad cocktail,1.0,notaddcocktail notaddrecept,1.0,guavalajara cocktail,2.0,cocktail fri,4
gambl cocktail,1.0,cocktail yessssss,1.0,sexi cocktail,1.0,cocktail hope,2.0,cocktail trust,4
interact cocktail,1.0,notaddcocktail notaddissu,1.0,standard cocktail,1.0,fav cocktail,2.0,cocktail coconut,4
cocktail notaddallow,1.0,cocktail overhead,1.0,cocktail steep,1.0,cocktail almost,2.0,pomegran cocktail,4
machin cocktail,1.0,cocktail involv,1.0,especi cocktail,1.0,cocktail flatbread,2.0,period cocktail,4
notaddto cocktail,1.0,mention cocktail,1.0,upscal cocktail,1.0,cocktail cucumb,2.0,scotch cocktail,4
rose cocktail,1.0,tea cocktail,1.0,cocktail photo,1.0,wing cocktail,2.0,cocktail herb,4
cocktail univers,1.0,cocktail interest,1.0,cocktail id,1.0,question cocktail,2.0,histori cocktail,4
cocktail none,1.0,bunch cocktail,1.0,cocktail peel,1.0,cocktail anyway,2.0,superior cocktail,4
cocktail choic,1.0,notaddhandcraft notaddcocktail,1.0,cocktail chicken,1.0,cocktail custom,2.0,vintag cocktail,4
ice cocktail,1.0,honest cocktail,1.0,drink notaddcocktail,1.0,five cocktail,2.0,cocktail mixolog,4
cocktail tasti,1.0,definit cocktail,1.0,notaddcocktail notaddaficionado,1.0,cocktail five,2.0,notaddher cocktail,4
mango cocktail,1.0,cocktail natur,1.0,array cocktail,1.0,almost cocktail,2.0,cocktail masterpiec,4
cocktail extrem,1.0,notaddcocktail notaddnapkin,1.0,cocktail light,1.0,cocktail sidecar,2.0,pie cocktail,4
cocktail care,1.0,cocktail post,1.0,notaddcocktail notaddwil,1.0,gir cocktail,2.0,cocktail barrymor,4
unders cocktail,1.0,cocktail head,1.0,cocktail wednesday,1.0,interact cocktail,2.0,cocktail larg,4
notaddcoffe notaddcocktail,1.0,dancer cocktail,1.0,cocktail martinin,1.0,bit cocktail,2.0,affair cocktail,4
notaddcocktail complet,1.0,cocktail answer,1.0,brew cocktail,1.0,cocktail total,2.0,notaddawesom notaddcocktail,3
cocktail ruin,1.0,cocktail tab,1.0,cocktail agre,1.0,nashi cocktail,2.0,cocktail custom,3
cocktail whiskey,1.0,cocktail wo,1.0,cocktail esp,1.0,busi cocktail,2.0,cocktail cevich,3
cocktail twelv,1.0,yummi cocktail,1.0,cocktail assumpt,1.0,mention cocktail,2.0,cocktail gorgeous,3
smoke cocktail,1.0,cocktail anyth,1.0,cocktail simpl,1.0,fresa cocktail,2.0,bottomless cocktail,3
undrink cocktail,1.0,cocktail intrigu,1.0,cocktail ouch,1.0,cocktail feel,2.0,authent cocktail,3
cocktail raw,1.0,cocktail gone,1.0,mixolog cocktail,1.0,cocktail discount,2.0,cocktail coupl,3
cocktail hor,1.0,tip cocktail,1.0,cocktail awkward,1.0,blvd cocktail,2.0,cocktail lunch,3
cocktail mention,1.0,notaddor notaddcocktail,1.0,notaddcocktail one,1.0,cocktail compani,2.0,blvd cocktail,3
cocktail etc,1.0,notaddcocktail notaddso,1.0,stock cocktail,1.0,huge cocktail,2.0,date cocktail,3
notaddt cocktail,1.0,measur cocktail,1.0,saw cocktail,1.0,color cocktail,2.0,cocktail heart,3
