cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
cocktail like,5.0,bar cocktail,6.0,cocktail would,11.0,cocktail yummi,25.0,handcraft cocktail,39
cocktail bad,5.0,price cocktail,6.0,per cocktail,11.0,cocktail would,25.0,cocktail friend,39
cocktail would,5.0,cocktail tabl,6.0,cocktail realli,11.0,select cocktail,25.0,cocktail select,38
round cocktail,5.0,enjoy cocktail,6.0,this cocktail,10.0,free cocktail,24.0,cocktail best,38
night cocktail,5.0,cocktail littl,6.0,servic cocktail,10.0,cocktail call,24.0,awesom cocktail,38
great cocktail,5.0,anoth cocktail,6.0,cocktail get,10.0,well cocktail,24.0,cocktail enjoy,38
free cocktail,5.0,cocktail arriv,6.0,cocktail shrimp,10.0,uniqu cocktail,23.0,this cocktail,38
go cocktail,5.0,cocktail parti,6.0,nice cocktail,10.0,love cocktail,23.0,cocktail recommend,38
cocktail wine,5.0,cocktail realli,6.0,no cocktail,10.0,cocktail got,23.0,made cocktail,38
cocktail look,5.0,cocktail beer,6.0,cocktail instead,9.0,tasti cocktail,22.0,tri cocktail,37
cocktail napkin,5.0,cocktail wine,6.0,cocktail price,9.0,cocktail go,22.0,two cocktail,37
grab cocktail,5.0,cocktail bartend,6.0,excel cocktail,9.0,interest cocktail,22.0,cocktail serv,37
cocktail even,5.0,love cocktail,6.0,cocktail came,9.0,start cocktail,22.0,servic cocktail,36
minut cocktail,5.0,cocktail well,6.0,night cocktail,9.0,place cocktail,22.0,nice cocktail,36
tabl cocktail,4.0,champagn cocktail,6.0,round cocktail,8.0,sip cocktail,22.0,cocktail like,35
got cocktail,4.0,cocktail napkin,6.0,time cocktail,8.0,cocktail start,21.0,cocktail shrimp,34
well cocktail,4.0,decent cocktail,5.0,cocktail peopl,8.0,cocktail serv,21.0,sip cocktail,34
cocktail two,4.0,cocktail call,5.0,crab cocktail,8.0,cocktail two,21.0,mix cocktail,33
cocktail ok,4.0,cocktail minut,5.0,select cocktail,8.0,cocktail make,21.0,bar cocktail,33
cocktail came,4.0,star cocktail,5.0,cocktail come,8.0,cocktail tasti,21.0,lobster cocktail,33
given cocktail,4.0,nice cocktail,5.0,special cocktail,8.0,like cocktail,21.0,menu cocktail,33
cocktail price,4.0,meal cocktail,5.0,cocktail ask,8.0,made cocktail,21.0,place cocktail,32
tast cocktail,4.0,notaddcocktail notadd,5.0,cocktail though,8.0,cocktail tast,21.0,cocktail make,32
coupl cocktail,4.0,cocktail tast,5.0,small cocktail,8.0,this cocktail,20.0,differ cocktail,31
came cocktail,4.0,coupl cocktail,5.0,classic cocktail,8.0,two cocktail,20.0,cocktail pretti,31
bar cocktail,4.0,even cocktail,5.0,cocktail tri,8.0,price cocktail,20.0,cocktail awesom,31
notaddcocktail notaddmenu,4.0,cocktail would,5.0,cocktail could,7.0,cocktail definit,19.0,cocktail nice,31
cocktail come,4.0,cocktail no,5.0,cocktail parti,7.0,menu cocktail,19.0,tasti cocktail,30
vodka cocktail,4.0,well cocktail,5.0,uniqu cocktail,7.0,cocktail select,19.0,cocktail dinner,30
cocktail enjoy,4.0,cocktail expect,5.0,even cocktail,7.0,hour cocktail,19.0,bartend cocktail,30
