cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
order cocktail drink,2.0,downtown cocktail loung,2.0,get drink cocktail,3.0,cocktail menu realli,6.0,pre dinner cocktail,9
cocktail drink menu,2.0,cocktail realli good,2.0,order two cocktail,3.0,cocktail tast like,6.0,beer cocktail select,9
notaddto notaddmak notaddcocktail,2.0,tri order cocktail,2.0,cocktail refresh order,3.0,great craft cocktail,6.0,also great cocktail,9
order cocktail actual,2.0,cocktail list happi,2.0,good cocktail menu,3.0,back tri cocktail,6.0,select specialti cocktail,9
know make cocktail,2.0,buy overpr cocktail,2.0,food cocktail good,3.0,best cocktail ever,6.0,one specialti cocktail,9
drink one cocktail,2.0,notaddfor notadda notaddcocktail,2.0,cocktail appet happi,3.0,cocktail pretti good,6.0,crab shrimp cocktail,9
aw cocktail came,2.0,minut get cocktail,2.0,list craft cocktail,3.0,cocktail peopl watch,6.0,barrel age cocktail,9
drink beer cocktail,2.0,present shrimp cocktail,2.0,bad cocktail waitress,3.0,shrimp loui cocktail,6.0,cocktail happi hour,8
water no cocktail,2.0,cocktail waitress no,2.0,tom cruis cocktail,3.0,extens cocktail menu,6.0,cocktail this world,8
cocktail order taken,2.0,order cocktail took,2.0,drink cocktail menu,3.0,cocktail small plate,5.0,great cocktail amaz,8
cocktail waitress name,2.0,cocktail took forev,2.0,cocktail menu ask,3.0,shrimp cocktail calamari,5.0,great cocktail good,8
order cocktail enjoy,2.0,notaddcocktail notaddwaitress notaddto,2.0,small cocktail loung,3.0,cocktail good well,5.0,enjoy great cocktail,8
like cocktail eat,2.0,cocktail appet definit,2.0,old fashion cocktail,3.0,good cocktail menu,5.0,serv cocktail sauc,8
cocktail eat dinner,2.0,cocktail great food,2.0,craft cocktail bar,3.0,cocktail menu great,5.0,cocktail reason price,8
worst cocktail server,2.0,take cocktail order,2.0,cocktail good tast,3.0,cocktail pretti tasti,5.0,favorit cocktail bar,8
cocktail waitress no,2.0,wait minut cocktail,2.0,one cocktail waitress,3.0,tri signatur cocktail,5.0,new favorit cocktail,8
ignor cocktail waitress,2.0,shrimp cocktail delici,2.0,got shrimp cocktail,3.0,cocktail food good,5.0,cocktail delici well,8
extra shot cocktail,2.0,minut bring cocktail,2.0,cocktail wine list,3.0,place grab cocktail,5.0,realli good cocktail,8
notaddhav notadda notaddcocktail,2.0,minut cocktail waitress,2.0,cocktail menu extens,3.0,cocktail glass wine,5.0,made great cocktail,8
cocktail list kinda,2.0,cocktail expect littl,2.0,cocktail waitress nice,3.0,downtown cocktail loung,5.0,tri shrimp cocktail,8
get one cocktail,2.0,order food cocktail,2.0,cocktail this place,3.0,shrimp cocktail also,5.0,great select cocktail,8
us cocktail menu,2.0,look craft cocktail,2.0,order cocktail menu,2.0,start shrimp cocktail,5.0,las vega cocktail,8
notaddfor notaddth notaddcocktail,2.0,shrimp cocktail oyster,2.0,cocktail list well,2.0,select craft cocktail,5.0,craft cocktail this,8
order crab cocktail,2.0,two cocktail pretti,2.0,cocktail one this,2.0,oyster cocktail sauc,5.0,cocktail great food,8
time cocktail waitress,2.0,grab cocktail take,2.0,ask cocktail sauc,2.0,pretti good cocktail,5.0,menu specialti cocktail,8
cocktail bottl water,2.0,no cocktail menu,2.0,regular cocktail price,2.0,craft beer cocktail,5.0,servic cocktail food,8
